relevant_property,sharpness,statesArray,annotation_category,probability,source
second,sharp,"[[9.0, 1.0, 1.0], [10.0, 0.0, 0.0], [10.0, 0.0, 1.0], [10.0, 0.0, 1.0], [10.0, 0.0, 1.0], [1.0, 0.0, 1.0]]",FCD,0.0,empirical
both,blurred,,D,0.0798657,model
both,sharp,,D,0.08806552,model
first,blurred,,D,0.10695084,model
first,sharp,,D,0.11282762,model
second,blurred,,D,0.07072571,model
second,sharp,,D,0.07034507,model
both,blurred,,D,,model
both,sharp,,D,,model
first,blurred,,D,,model
first,sharp,,D,,model
second,blurred,,D,,model
second,sharp,,D,,model
both,blurred,,D,,model
both,sharp,,D,,model
first,blurred,,D,,model
first,sharp,,D,,model
second,blurred,,D,,model
second,sharp,,D,,model
both,blurred,,D,,model
both,sharp,,D,,model
first,blurred,,D,,model
first,sharp,,D,,model
second,blurred,,D,,model
second,sharp,,D,,model
both,blurred,,D,,model
both,sharp,,D,,model
first,blurred,,D,,model
first,sharp,,D,,model
second,blurred,,D,,model
second,sharp,,D,,model
both,blurred,,D,,model
both,sharp,,D,,model
first,blurred,,D,,model
first,sharp,,D,,model
second,blurred,,D,,model
second,sharp,,D,,model
both,blurred,,D,,model
both,sharp,,D,,model
first,blurred,,D,,model
first,sharp,,D,,model
second,blurred,,D,,model
second,sharp,,D,,model
both,blurred,,D,,model
both,sharp,,D,,model
first,blurred,,D,,model
first,sharp,,D,,model
second,blurred,,D,,model
second,sharp,,D,,model
both,blurred,,D,,model
both,sharp,,D,,model
first,blurred,,D,,model
first,sharp,,D,,model
second,blurred,,D,,model
second,sharp,,D,,model
both,blurred,,D,,model
both,sharp,,D,,model
first,blurred,,D,,model
first,sharp,,D,,model
second,blurred,,D,,model
second,sharp,,D,,model
both,blurred,,D,,model
both,sharp,,D,,model
first,blurred,,D,,model
first,sharp,,D,,model
second,blurred,,D,,model
second,sharp,,D,,model
both,blurred,,D,,model
both,sharp,,D,,model
first,blurred,,D,,model
first,sharp,,D,,model
second,blurred,,D,,model
second,sharp,,D,,model
both,blurred,,D,,model
both,sharp,,D,,model
first,blurred,,D,,model
first,sharp,,D,,model
second,blurred,,D,,model
second,sharp,,D,,model
both,blurred,,D,,model
both,sharp,,D,,model
first,blurred,,D,,model
first,sharp,,D,,model
second,blurred,,D,,model
second,sharp,,D,,model
both,blurred,,D,,model
both,sharp,,D,,model
first,blurred,,D,,model
first,sharp,,D,,model
second,blurred,,D,,model
second,sharp,,D,,model
both,blurred,,DC,0.15182777,model
both,sharp,,DC,0.1628712,model
first,blurred,,DC,0.112000756,model
first,sharp,,DC,0.106623866,model
second,blurred,,DC,0.14544484,model
second,sharp,,DC,0.14339145,model
both,blurred,,DC,,model
both,sharp,,DC,,model
first,blurred,,DC,,model
first,sharp,,DC,,model
second,blurred,,DC,,model
second,sharp,,DC,,model
both,blurred,,DC,,model
both,sharp,,DC,,model
first,blurred,,DC,,model
first,sharp,,DC,,model
second,blurred,,DC,,model
second,sharp,,DC,,model
both,blurred,,DC,,model
both,sharp,,DC,,model
first,blurred,,DC,,model
first,sharp,,DC,,model
second,blurred,,DC,,model
second,sharp,,DC,,model
both,blurred,,DC,,model
both,sharp,,DC,,model
first,blurred,,DC,,model
first,sharp,,DC,,model
second,blurred,,DC,,model
second,sharp,,DC,,model
both,blurred,,DC,,model
both,sharp,,DC,,model
first,blurred,,DC,,model
first,sharp,,DC,,model
second,blurred,,DC,,model
second,sharp,,DC,,model
both,blurred,,DC,,model
both,sharp,,DC,,model
first,blurred,,DC,,model
first,sharp,,DC,,model
second,blurred,,DC,,model
second,sharp,,DC,,model
both,blurred,,DC,,model
both,sharp,,DC,,model
first,blurred,,DC,,model
first,sharp,,DC,,model
second,blurred,,DC,,model
second,sharp,,DC,,model
both,blurred,,DC,,model
both,sharp,,DC,,model
first,blurred,,DC,,model
first,sharp,,DC,,model
second,blurred,,DC,,model
second,sharp,,DC,,model
both,blurred,,DC,,model
both,sharp,,DC,,model
first,blurred,,DC,,model
first,sharp,,DC,,model
second,blurred,,DC,,model
second,sharp,,DC,,model
both,blurred,,DC,,model
both,sharp,,DC,,model
first,blurred,,DC,,model
first,sharp,,DC,,model
second,blurred,,DC,,model
second,sharp,,DC,,model
both,blurred,,DC,,model
both,sharp,,DC,,model
first,blurred,,DC,,model
first,sharp,,DC,,model
second,blurred,,DC,,model
second,sharp,,DC,,model
both,blurred,,DC,,model
both,sharp,,DC,,model
first,blurred,,DC,,model
first,sharp,,DC,,model
second,blurred,,DC,,model
second,sharp,,DC,,model
both,blurred,,DC,,model
both,sharp,,DC,,model
first,blurred,,DC,,model
first,sharp,,DC,,model
second,blurred,,DC,,model
second,sharp,,DC,,model
both,blurred,,DC,,model
both,sharp,,DC,,model
first,blurred,,DC,,model
first,sharp,,DC,,model
second,blurred,,DC,,model
second,sharp,,DC,,model
both,blurred,,DCF,0.089287415,model
both,sharp,,DCF,0.08041981,model
first,blurred,,DCF,0.06010122,model
first,sharp,,DCF,0.058039475,model
second,blurred,,DCF,0.08072342,model
second,sharp,,DCF,0.08338687,model
both,blurred,,DCF,,model
both,sharp,,DCF,,model
first,blurred,,DCF,,model
first,sharp,,DCF,,model
second,blurred,,DCF,,model
second,sharp,,DCF,,model
both,blurred,,DCF,,model
both,sharp,,DCF,,model
first,blurred,,DCF,,model
first,sharp,,DCF,,model
second,blurred,,DCF,,model
second,sharp,,DCF,,model
both,blurred,,DCF,,model
both,sharp,,DCF,,model
first,blurred,,DCF,,model
first,sharp,,DCF,,model
second,blurred,,DCF,,model
second,sharp,,DCF,,model
both,blurred,,DCF,,model
both,sharp,,DCF,,model
first,blurred,,DCF,,model
first,sharp,,DCF,,model
second,blurred,,DCF,,model
second,sharp,,DCF,,model
both,blurred,,DCF,,model
both,sharp,,DCF,,model
first,blurred,,DCF,,model
first,sharp,,DCF,,model
second,blurred,,DCF,,model
second,sharp,,DCF,,model
both,blurred,,DCF,,model
both,sharp,,DCF,,model
first,blurred,,DCF,,model
first,sharp,,DCF,,model
second,blurred,,DCF,,model
second,sharp,,DCF,,model
both,blurred,,DCF,,model
both,sharp,,DCF,,model
first,blurred,,DCF,,model
first,sharp,,DCF,,model
second,blurred,,DCF,,model
second,sharp,,DCF,,model
both,blurred,,DCF,,model
both,sharp,,DCF,,model
first,blurred,,DCF,,model
first,sharp,,DCF,,model
second,blurred,,DCF,,model
second,sharp,,DCF,,model
both,blurred,,DCF,,model
both,sharp,,DCF,,model
first,blurred,,DCF,,model
first,sharp,,DCF,,model
second,blurred,,DCF,,model
second,sharp,,DCF,,model
both,blurred,,DCF,,model
both,sharp,,DCF,,model
first,blurred,,DCF,,model
first,sharp,,DCF,,model
second,blurred,,DCF,,model
second,sharp,,DCF,,model
both,blurred,,DCF,,model
both,sharp,,DCF,,model
first,blurred,,DCF,,model
first,sharp,,DCF,,model
second,blurred,,DCF,,model
second,sharp,,DCF,,model
both,blurred,,DCF,,model
both,sharp,,DCF,,model
first,blurred,,DCF,,model
first,sharp,,DCF,,model
second,blurred,,DCF,,model
second,sharp,,DCF,,model
both,blurred,,DCF,,model
both,sharp,,DCF,,model
first,blurred,,DCF,,model
first,sharp,,DCF,,model
second,blurred,,DCF,,model
second,sharp,,DCF,,model
both,blurred,,DCF,,model
both,sharp,,DCF,,model
first,blurred,,DCF,,model
first,sharp,,DCF,,model
second,blurred,,DCF,,model
second,sharp,,DCF,,model
both,blurred,,DF,0.07142487,model
both,sharp,,DF,0.078209154,model
first,blurred,,DF,0.121162325,model
first,sharp,,DF,0.1385722,model
second,blurred,,DF,0.05537767,model
second,sharp,,DF,0.057941094,model
both,blurred,,DF,,model
