model,semantics,planning_scale,relevant_property,sharpness,category,empirical_proportion,model_proportion,condition_n,summary_type,signed_residual,abs_residual
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,1.0,both,sharp,three_adjectives,0.27001985440105886,0.3655202,1511,length,0.09550035467296153,0.09550035467296153
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,1.0,both,sharp,two_adjectives,0.6618133686300463,0.4774561,1511,length,-0.1843572757955736,0.1843572757955736
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,1.0,first,blurred,one_adjective,0.3269230769230769,0.16988224,1664,length,-0.15704083901185256,0.15704083901185256
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,1.0,first,blurred,three_adjectives,0.2542067307692308,0.35857236,1664,length,0.10436563308422381,0.10436563308422381
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,1.0,first,blurred,two_adjectives,0.4188701923076923,0.47154537,1664,length,0.05267517612530637,0.05267517612530637
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,1.0,first,sharp,one_adjective,0.47148541114058357,0.16867183,1508,length,-0.30281357965197425,0.30281357965197425
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,1.0,first,sharp,three_adjectives,0.18899204244031828,0.36889756,1508,length,0.17990551481828768,0.17990551481828768
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,1.0,first,sharp,two_adjectives,0.3395225464190981,0.46243057,1508,length,0.12290802013020302,0.12290802013020302
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,1.0,second,blurred,one_adjective,0.6884185773074663,0.20433637,1701,length,-0.4840822023093736,0.4840822023093736
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,1.0,second,blurred,three_adjectives,0.0411522633744856,0.31317058,1701,length,0.27201831868155996,0.27201831868155996
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,1.0,second,blurred,two_adjectives,0.2704291593180482,0.482493,1701,length,0.21206385382549126,0.21206385382549126
