model,architecture,architecture_short,semantics,semantics_short,summary_type,relevant_property,sharpness,category,empirical_proportion,model_proportion,signed_residual,abs_residual,n
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,selection,first,blurred,size_only,0.05595667870036104,0.0972620897805389,0.04130541108017785,0.04130541108017785,554
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,selection,first,sharp,colour_only,0.0,0.011994875061168706,0.011994875061168706,0.011994875061168706,502
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,selection,first,sharp,redundant_form,0.6852589641434262,0.7786038893893924,0.09334492524596616,0.09334492524596616,502
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,selection,first,sharp,size_colour,0.04581673306772902,0.06527336721976337,0.01945663415203435,0.01945663415203435,502
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,selection,first,sharp,size_only,0.2689243027888447,0.14412786832967553,-0.12479643445916919,0.12479643445916919,502
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,selection,second,blurred,colour_only,0.6278659611992948,0.7020906429541562,0.07422468175486141,0.07422468175486141,567
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,selection,second,blurred,redundant_form,0.3721340388007052,0.2303643724730163,-0.14176966632768892,0.14176966632768892,567
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,selection,second,blurred,size_colour,0.0,0.06445464823962108,0.06445464823962108,0.06445464823962108,567
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,selection,second,blurred,size_only,0.0,0.00309033633320633,0.00309033633320633,0.00309033633320633,567
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,selection,second,sharp,colour_only,0.7162698412698416,0.6970838966298396,-0.019185944640002006,0.019185944640002006,504
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,selection,second,sharp,redundant_form,0.2817460317460315,0.21585721569122795,-0.06588881605480357,0.06588881605480357,504
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,selection,second,sharp,size_colour,0.0019841269841269008,0.08298398124474668,0.08099985426061979,0.08099985426061979,504
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,selection,second,sharp,size_only,0.0,0.004074906434185858,0.004074906434185858,0.004074906434185858,504
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,selection,both,blurred,colour_only,0.008833922261484103,0.0448833464813784,0.036049424219894294,0.036049424219894294,566
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,selection,both,blurred,redundant_form,0.9134275618374558,0.8513632601144204,-0.06206430172303534,0.06206430172303534,566
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,selection,both,blurred,size_colour,0.07773851590106004,0.09773025354619051,0.019991737645130472,0.019991737645130472,566
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,selection,both,blurred,size_only,0.0,0.006023139858010619,0.006023139858010619,0.006023139858010619,566
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,selection,both,sharp,colour_only,0.0,0.04127351528427573,0.04127351528427573,0.04127351528427573,503
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,selection,both,sharp,redundant_form,0.7912524850894632,0.8353220150266307,0.044069529937167506,0.044069529937167506,503
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,selection,both,sharp,size_colour,0.20874751491053678,0.1156958587293017,-0.09305165618123508,0.09305165618123508,503
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,selection,both,sharp,size_only,0.0,0.007708610959791806,0.007708610959791806,0.007708610959791806,503
