model,order_planning_scale,relevant_property,sharpness,category,human_mean,model_mean,candidate_model_mean,summary_type,baseline_signed_residual,candidate_signed_residual,baseline_abs_residual,candidate_abs_residual,abs_residual_reduction
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,both,blurred,colour_only,0.0088339222614841,0.0468233215547703,0.0468233215547703,selection,0.0379893992932862,0.0379893992932862,0.0379893992932862,0.0379893992932862,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,both,blurred,redundant_form,0.9134275618374553,0.881808275488797,0.881808275488797,selection,-0.03161928634865829,-0.03161928634865829,0.03161928634865829,0.03161928634865829,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,both,blurred,size_colour,0.07773851590106001,0.0639797759566948,0.0639797759566948,selection,-0.013758739944365217,-0.013758739944365217,0.013758739944365217,0.013758739944365217,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,both,blurred,size_only,0.0,0.0103794124995538,0.0103794124995538,selection,0.0103794124995538,0.0103794124995538,0.0103794124995538,0.0103794124995538,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,both,sharp,colour_only,0.0,0.0373558648111332,0.0373558648111332,selection,0.0373558648111332,0.0373558648111332,0.0373558648111332,0.0373558648111332,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,both,sharp,redundant_form,0.7912524850894629,0.8662503657001297,0.8662503657001297,selection,0.07499788061066681,0.07499788061066681,0.07499788061066681,0.07499788061066681,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,both,sharp,size_colour,0.2087475149105367,0.0858665434032374,0.0858665434032374,selection,-0.12288097150729929,-0.12288097150729929,0.12288097150729929,0.12288097150729929,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,both,sharp,size_only,0.0,0.0142624254473161,0.0142624254473161,selection,0.0142624254473161,0.0142624254473161,0.0142624254473161,0.0142624254473161,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,first,blurred,colour_only,0.0054151624548736,0.0135848375451263,0.0135848375451263,selection,0.0081696750902527,0.0081696750902527,0.0081696750902527,0.0081696750902527,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,first,blurred,redundant_form,0.893501805054151,0.8852021370030163,0.8852021370030163,selection,-0.00829966805113469,-0.00829966805113469,0.00829966805113469,0.00829966805113469,0.0
