combination,relevant_property,sharpness,category,Fully incremental,Global,Plan-guided,architecture_spread,endpoint_difference,plan_guided_minus_endpoint_midpoint,summary_type
dimension_form,both,sharp,D,0.4421944444444444,0.490022536687631,0.4503301886792452,0.047828092243186626,-0.047828092243186626,-0.015778301886792523,Initial adjective
dimension_form,first,sharp,3,0.3598084210526315,0.3132315789473684,0.3561478947368421,0.04657684210526308,0.04657684210526308,0.019627894736842177,Response length
dimension_form,both,blurred,2,0.6142730696798494,0.5681699623352165,0.5837203389830509,0.046103107344632854,0.046103107344632854,-0.007501177024482053,Response length
dimension_color,first,blurred,F,0.1165374762808349,0.1615322580645161,0.1436228652751423,0.0449947817836812,-0.0449947817836812,0.004587998102466795,Initial adjective
dimension_color,both,sharp,DFC,0.0353466386554621,0.0800241596638655,0.0503902310924369,0.0446775210084034,-0.0446775210084034,-0.007295168067226902,Exact response
dimension_color,both,blurred,DFC,0.0297857142857142,0.0741762523191094,0.0450009276437847,0.044390538033395203,-0.044390538033395203,-0.006980055658627096,Exact response
dimension_form,first,blurred,D,0.0723110465116279,0.0284297480620155,0.0374680232558139,0.043881298449612395,0.043881298449612395,-0.012902374031007802,Exact response
dimension_form,second,blurred,C,0.2999157407407407,0.2749958333333333,0.3180712962962962,0.04307546296296294,0.024919907407407405,0.03061550925925921,Initial adjective
dimension_form,first,blurred,DC,0.0850988372093023,0.1280499031007752,0.0982214147286821,0.04295106589147289,-0.04295106589147289,-0.00835295542635664,Exact response
color_form,first,blurred,D,0.1093314814814814,0.1519388888888889,0.127074537037037,0.0426074074074075,-0.0426074074074075,-0.00356064814814816,Initial adjective
dimension_form,second,sharp,C,0.2743792016806722,0.2419558823529411,0.2845603991596638,0.0426045168067227,0.0324233193277311,0.026392857142857162,Initial adjective
dimension_color,first,blurred,D,0.750045540796964,0.707634724857685,0.7269454459203036,0.04241081593927898,0.04241081593927898,-0.0018946869070207706,Initial adjective
dimension_form,first,blurred,F,0.0554156976744186,0.0973105620155038,0.0675266472868217,0.0418948643410852,-0.0418948643410852,-0.0088364825581395,Initial adjective
dimension_form,both,sharp,1,0.128751572327044,0.161730607966457,0.1705335429769392,0.041781970649895195,-0.032979035639412985,0.02529245283018869,Response length
color_form,second,blurred,DF,0.1411513888888888,0.1005518518518518,0.1192013888888888,0.04059953703703702,0.04059953703703702,-0.0016502314814815094,Exact response
dimension_form,both,sharp,FC,0.0371001048218029,0.0776472746331236,0.0456635220125786,0.0405471698113207,-0.0405471698113207,-0.011710167714884645,Exact response
dimension_color,both,blurred,CF,0.288219387755102,0.2481284786641929,0.2775055658627087,0.040090909090909066,0.040090909090909066,0.00933163265306125,Exact response
color_form,both,sharp,3,0.187166142557652,0.1473071278825995,0.1507903563941299,0.039859014675052484,0.039859014675052484,-0.016446278825995836,Response length
dimension_form,first,blurred,CDF,0.053140988372093,0.0134825581395348,0.0305193798449612,0.0396584302325582,0.0396584302325582,-0.0027923934108526997,Exact response
dimension_color,first,blurred,D,0.0652338709677419,0.0255958254269449,0.032650853889943,0.039638045540797,0.039638045540797,-0.012763994307400398,Exact response
dimension_color,both,sharp,CF,0.237032037815126,0.1974159663865546,0.2144873949579832,0.0396160714285714,0.0396160714285714,-0.002736607142857117,Exact response
dimension_form,first,sharp,D,0.7601963157894736,0.7985794736842106,0.7840489473684211,0.03838315789473701,-0.03838315789473701,0.004661052631579121,Initial adjective
dimension_form,second,blurred,FC,0.0280555555555555,0.0662023148148148,0.0408518518518518,0.0381467592592593,-0.0381467592592593,-0.00627708333333335,Exact response
color_form,first,sharp,C,0.912322327044025,0.8742117400419287,0.900424004192872,0.03811058700209635,0.03811058700209635,0.007156970649895178,Initial adjective
color_form,first,sharp,DC,0.0446451781970649,0.0822924528301886,0.0597803983228511,0.0376472746331237,-0.0376472746331237,-0.0036884171907756516,Exact response
dimension_form,first,sharp,CDF,0.0518326315789473,0.0142310526315789,0.0313668421052631,0.037601578947368396,0.037601578947368396,-0.0016649999999999929,Exact response
