combination,relevant_property,sharpness,category,observed_mean,observed_lower,observed_upper,summary_type
dimension_color,first,sharp,CDF,0.018947368421052633,0.0021008403361344537,0.046413502109704644,Exact response
dimension_color,first,sharp,CF,0.09894736842105263,0.046511627906976744,0.16101694915254236,Exact response
dimension_color,first,sharp,CFD,0.002105263157894737,0,0.006342494714587738,Exact response
dimension_color,first,sharp,D,0.27157894736842103,0.1957894736842105,0.35157894736842105,Exact response
dimension_color,first,sharp,DC,0.04421052631578947,0.02531645569620253,0.06512605042016807,Exact response
dimension_color,first,sharp,DCF,0.1936842105263158,0.13444673466871024,0.2578616352201258,Exact response
dimension_color,first,sharp,DF,0.23157894736842105,0.17051735957540912,0.3004201680672269,Exact response
dimension_color,first,sharp,DFC,0.023157894736842106,0.006329113924050633,0.04219409282700422,Exact response
dimension_color,first,sharp,F,0.1031578947368421,0.08227848101265822,0.12447257383966245,Exact response
dimension_color,first,sharp,FC,0.010526315789473684,0,0.02536997885835095,Exact response
dimension_color,first,sharp,FCD,0,0,0,Exact response
dimension_color,first,sharp,FD,0.002105263157894737,0,0.006329113924050633,Exact response
dimension_color,first,sharp,FDC,0,0,0,Exact response
dimension_color,second,blurred,C,0.6148148148148148,0.524074074074074,0.7037037037037037,Exact response
dimension_color,second,blurred,CD,0,0,0,Exact response
dimension_color,second,blurred,CDF,0.005555555555555556,0,0.014814814814814815,Exact response
dimension_color,second,blurred,CF,0.27037037037037037,0.19074074074074074,0.35555555555555557,Exact response
dimension_color,second,blurred,CFD,0,0,0,Exact response
dimension_color,second,blurred,D,0,0,0,Exact response
dimension_color,second,blurred,DC,0,0,0,Exact response
dimension_color,second,blurred,DCF,0.027777777777777776,0.009212962962962978,0.05185185185185185,Exact response
dimension_color,second,blurred,DF,0,0,0,Exact response
dimension_color,second,blurred,DFC,0.014814814814814815,0,0.040740740740740744,Exact response
dimension_color,second,blurred,F,0.046296296296296294,0.03148148148148148,0.06300925925925942,Exact response
dimension_color,second,blurred,FC,0.020370370370370372,0,0.05740740740740741,Exact response
dimension_color,second,blurred,FCD,0,0,0,Exact response
dimension_color,second,blurred,FD,0,0,0,Exact response
dimension_color,second,blurred,FDC,0,0,0,Exact response
dimension_color,second,sharp,C,0.7148846960167715,0.6247379454926625,0.8029350104821803,Exact response
dimension_color,second,sharp,CD,0,0,0,Exact response
dimension_color,second,sharp,CDF,0.0041928721174004195,0,0.010482180293501049,Exact response
dimension_color,second,sharp,CF,0.22851153039832284,0.1509433962264151,0.31236897274633124,Exact response
dimension_color,second,sharp,CFD,0,0,0,Exact response
dimension_color,second,sharp,D,0,0,0,Exact response
dimension_color,second,sharp,DC,0.0020964360587002098,0,0.006289308176100629,Exact response
dimension_color,second,sharp,DCF,0.0020964360587002098,0,0.006289308176100629,Exact response
dimension_color,second,sharp,DF,0,0,0,Exact response
dimension_color,second,sharp,DFC,0.006289308176100629,0,0.016771488469601678,Exact response
dimension_color,second,sharp,F,0.020964360587002098,0.010482180293501049,0.033542976939203356,Exact response
dimension_color,second,sharp,FC,0.020964360587002098,0.0020964360587002098,0.044077568134172095,Exact response
dimension_color,second,sharp,FCD,0,0,0,Exact response
dimension_color,second,sharp,FD,0,0,0,Exact response
dimension_color,second,sharp,FDC,0,0,0,Exact response
dimension_form,both,blurred,C,0.011299435028248588,0.001893939393939394,0.022598870056497175,Exact response
dimension_form,both,blurred,CD,0.0018832391713747645,0,0.005671346021653207,Exact response
dimension_form,both,blurred,CDF,0.04143126177024482,0.011235955056179775,0.08630393996247655,Exact response
dimension_form,both,blurred,CF,0.15065913370998116,0.11487758945386065,0.18879131848135258,Exact response
