semantics,rule,support,order,parameter_set,metric,mean,variance,groups,mcse,lower_mc95,upper_mc95
fixed,prefix_k1,four,neutral,original_grid,speaker_size_first_given_set,0.4815557184439883,8.880057326510142e-05,24,0.0003926419003603396,0.4807861403192821,0.48232529656869455
fixed,prefix_k1,four,stable,fitted_constants,listener_advantage,0.022283283938970874,3.16870232683758e-05,24,0.00023454678248542135,0.021823572245299447,0.0227429956326423
fixed,prefix_k1,four,stable,fitted_constants,speaker_size_first_given_set,0.9941241241584353,6.263742307849914e-09,24,3.2976586569557176e-06,0.9941176607474677,0.994130587569403
fixed,prefix_k1,two,neutral,fitted_constants,listener_advantage,0.02055509496532093,3.5061341337086514e-05,24,0.00024671924178258815,0.020071525251427056,0.021038664679214805
fixed,prefix_k1,two,neutral,fitted_constants,speaker_size_first_given_set,0.5395889238930961,1.1570044804447298e-05,24,0.00014172820234891267,0.5393111366164922,0.5398667111697
fixed,prefix_k1,two,neutral,original_grid,listener_advantage,-0.02717928958231967,0.0003729212417972089,24,0.0008046320348168395,-0.028756368370560677,-0.025602210794078664
fixed,prefix_k1,two,neutral,original_grid,speaker_size_first_given_set,0.4815557184439883,8.8800573265101e-05,24,0.00039264190036033864,0.4807861403192821,0.48232529656869455
fixed,prefix_k1,two,stable,fitted_constants,listener_advantage,0.02244943909488056,3.004920393449378e-05,24,0.00022840480912344726,0.022001765668998603,0.022897112520762517
fixed,prefix_k1,two,stable,fitted_constants,speaker_size_first_given_set,0.9941241241584353,6.2637423078499056e-09,24,3.2976586569557155e-06,0.9941176607474677,0.994130587569403
fixed,terminal,fifteen,neutral,fitted_constants,listener_advantage,4.446674510087216e-19,1.472266041525882e-35,24,1.5987549634652135e-19,1.3131147816953973e-19,7.580234238479034e-19
fixed,terminal,fifteen,neutral,fitted_constants,speaker_size_first_given_set,0.5,9.276234829638815e-35,24,4.0130505051658435e-19,0.5,0.5
fixed,terminal,fifteen,neutral,original_grid,listener_advantage,-2.0541670216663496e-19,3.2398551091495747e-37,24,2.3716552138505877e-20,-2.519011443581065e-19,-1.5893225997516343e-19
fixed,terminal,fifteen,neutral,original_grid,speaker_size_first_given_set,0.5,4.0099442285540044e-38,24,8.343685474733859e-21,0.5,0.5
fixed,terminal,fifteen,stable,fitted_constants,listener_advantage,-5.5528498466017604e-18,4.239999924522926e-35,24,2.713136741868077e-19,-6.084624648007904e-18,-5.021075045195617e-18
fixed,terminal,fifteen,stable,fitted_constants,speaker_size_first_given_set,0.993189769490492,1.71193772834421e-34,24,5.451709925985331e-19,0.993189769490492,0.993189769490492
fixed,terminal,four,neutral,fitted_constants,listener_advantage,7.467984564080155e-19,1.4210924297654478e-35,24,1.570724150585226e-19,4.389365228933112e-19,1.05466038992272e-18
fixed,terminal,four,neutral,fitted_constants,speaker_size_first_given_set,0.5,8.547041894538686e-35,24,3.85209221076557e-19,0.5,0.5
fixed,terminal,four,neutral,original_grid,listener_advantage,-2.4259298273913527e-19,3.2248791433258014e-37,24,2.3661674735145872e-20,-2.889698652200212e-19,-1.9621610025824937e-19
fixed,terminal,four,neutral,original_grid,speaker_size_first_given_set,0.5,2.776115235152773e-38,24,6.9423659551147e-21,0.5,0.5
fixed,terminal,four,stable,fitted_constants,listener_advantage,3.7961532065959127e-19,2.1491507337953862e-35,24,1.931622237497479e-19,1.017362110085393e-21,7.582132792090971e-19
fixed,terminal,four,stable,fitted_constants,speaker_size_first_given_set,0.993189769490492,1.7152690666263933e-34,24,5.4570117144049325e-19,0.993189769490492,0.993189769490492
fixed,terminal,two,neutral,fitted_constants,listener_advantage,7.667477763817487e-19,1.0288811872871316e-35,24,1.3365074116002431e-19,5.047923237081011e-19,1.0287032290553964e-18
fixed,terminal,two,neutral,fitted_constants,speaker_size_first_given_set,0.5,7.064287901718756e-35,24,3.502054927933274e-19,0.5,0.5
fixed,terminal,two,neutral,original_grid,listener_advantage,-4.801598933272071e-19,2.7308496823635074e-37,24,2.1773971792774816e-20,-5.228368780410457e-19,-4.374829086133685e-19
fixed,terminal,two,neutral,original_grid,speaker_size_first_given_set,0.5,8.945260202158933e-38,24,1.2461928273244131e-20,0.5,0.5
fixed,terminal,two,stable,fitted_constants,listener_advantage,7.80799036537161e-18,7.591022222863237e-36,24,1.14799207426725e-19,7.582983918815228e-18,8.03299681192799e-18
fixed,terminal,two,stable,fitted_constants,speaker_size_first_given_set,0.993189769490492,0.0,24,0.0,0.993189769490492,0.993189769490492
updating,kernel_global,two,neutral,fitted_constants,listener_advantage,2.7656697564618804e-05,5.619282490491118e-08,24,9.877094090983311e-06,8.297593146291515e-06,4.701580198294609e-05
updating,kernel_global,two,neutral,fitted_constants,speaker_size_first_given_set,0.49993781757028777,1.685369793573499e-07,24,1.7105523157606116e-05,0.49990429074489884,0.4999713443956767
