parameter,participant_id,posterior_mean,posterior_q025,posterior_q975
Stable-order weighting,62,2.915570218911934,2.278741501156196,3.5697452449553295
Stable-order weighting,63,2.763738219679212,2.2661114743758635,3.2776765493980324
Stable-order weighting,64,2.355191994262847,1.755301841343812,2.9805650297983846
Stable-order weighting,65,1.6031972906179408,1.1178195906296475,2.116289109594943
Stable-order weighting,66,2.6952041695026985,2.1008829412087353,3.32273912319963
Stable-order weighting,67,2.4762372015371734,2.0288699838600195,2.94689501720072
Stable-order weighting,68,2.5290219338242945,1.964240542584251,3.102624688585714
Stable-order weighting,69,2.306268072769724,1.7844614440311657,2.864848122393693
Stable-order weighting,70,1.2582245936046044,0.8564749117334541,1.675590486781715
Stable-order weighting,71,2.3566574797431534,1.7427505893557111,3.007481250889051
Stable-order weighting,72,3.0207187792375194,2.369504765120943,3.6909788422526533
Stable-order weighting,73,2.598970679381738,2.1144349822459856,3.0959409664345667
Stable-order weighting,74,2.9955533422812946,2.4349956438955456,3.579196379185353
Stable-order weighting,75,2.649706805668705,2.099433842305922,3.251835679460152
Stable-order weighting,76,2.7067716321554207,2.2086573708249304,3.2261768158812343
Stable-order weighting,77,2.7212982135369415,2.2078282705848715,3.2354570948062715
Stable-order weighting,78,2.5871208600440556,1.9878276997168118,3.20052425684719
Stable-order weighting,79,3.2971869797155784,2.7800240335118045,3.828016665600823
Stable-order weighting,80,1.4771494008128896,0.9838436314183083,2.0076120042909267
Stable-order weighting,81,2.9276943316104367,2.384433999755303,3.4885692776442987
Stable-order weighting,82,1.9009179889549421,1.3722777836283853,2.4516138534084266
Stable-order weighting,83,2.824040939328169,2.2182599141255577,3.493139425507005
Stable-order weighting,84,2.760087309337795,2.116745600453598,3.4943482033330873
Stable-order weighting,85,3.0834593405517845,2.487663971546876,3.7121639747746293
Stable-order weighting,86,2.7560452267296847,2.216677810608309,3.3029285202853873
Stable-order weighting,87,3.008329479713959,2.5129600167717285,3.533750745073802
Stable-order weighting,88,0.9472072733101111,0.5900911861674166,1.3523222845433847
Stable-order weighting,89,2.0224496122003317,1.595369416643654,2.4583669740659677
Stable-order weighting,90,2.9800687659803526,2.418318202333607,3.5450953132434564
Stable-order weighting,91,2.1239459207826887,1.6484673599787825,2.6223788057374997
Stable-order weighting,92,2.390470296218194,1.8326510160770124,2.9769534621011418
Stable-order weighting,93,2.39514482639892,1.8739615624174681,2.933965735102936
Stable-order weighting,94,3.0612622602685526,2.587267127020756,3.5362572062661735
Stable-order weighting,95,2.6906501111303136,2.2112214850360306,3.155768841540775
Stable-order weighting,96,3.1336016860128386,2.5594478519663704,3.73532143527441
Stable-order weighting,97,2.9771582206048244,2.505641326545249,3.47224765240477
Stable-order weighting,98,3.0053098802787948,2.408892609530343,3.6162771794783395
Stable-order weighting,99,2.039538068057703,1.525778267618198,2.579984306178883
Stable-order weighting,100,2.0352221871027583,1.5203400702787568,2.553318243749437
Stable-order weighting,101,2.700604994920196,2.167248329739339,3.260593990326662
Stable-order weighting,102,2.735116331256229,2.164375173312828,3.313182350121473
Stable-order weighting,103,2.369715695274499,1.8858170656505067,2.853231105361031
Stable-order weighting,104,2.698584012350358,2.2224045791997145,3.192408198390506
Stable-order weighting,105,2.947447475855559,2.405330174349342,3.509642409648672
Stable-order weighting,106,2.3274538426997364,1.7635719906745815,2.9443255876482586
Stable-order weighting,107,2.705485373576886,2.0917508933420037,3.344917535269122
Stable-order weighting,108,3.2171267930575635,2.6435759143378452,3.8242316591912116
Stable-order weighting,109,2.6384200247845726,2.0638194934725904,3.246948395647926
Stable-order weighting,110,1.6974561750690753,1.1795642946604787,2.27430887453441
Stable-order weighting,111,2.873470138695176,2.3085611746632826,3.446363470885664
Stable-order weighting,112,4.348078873475965,3.8092389103202233,4.922603098069084
Stable-order weighting,113,0.8069421520527605,0.5121730727973055,1.153323293596957
