model,relevant_property,sharpness,metric,mean,lower_95,upper_95,trials,posterior_draws
K-HO,first,sharp,listener_size_first,0.257488134654899,0.24690885964831968,0.26956904788046204,475,200
K-HO,first,sharp,listener_colour_first,0.13963982246233908,0.13609689966486005,0.14280407885462787,475,200
K-HO,first,sharp,listener_advantage,0.11784831219255994,0.10745423983073862,0.12833583108902746,475,200
K-HO,second,blurred,speaker_size_first_given_set,0.9616539336391426,0.9554423551337888,0.9678697946365341,540,200
K-HO,second,blurred,listener_size_first,0.0804175549812685,0.07771984344032097,0.08329117210733723,540,200
K-HO,second,blurred,listener_colour_first,0.14389956624017325,0.1410983571922326,0.1469803811234979,540,200
K-HO,second,blurred,listener_advantage,-0.06348201125890476,-0.06731045264363046,-0.059617381405603936,540,200
K-HO,second,sharp,speaker_size_first_given_set,0.948445400003909,0.9384654085278434,0.9561493651865107,477,200
K-HO,second,sharp,listener_size_first,0.08589774951564139,0.08239222201242041,0.08937567176612664,477,200
K-HO,second,sharp,listener_colour_first,0.16517676404528317,0.16042174839165943,0.1688976666847466,477,200
K-HO,second,sharp,listener_advantage,-0.07927901452964184,-0.08413930363995595,-0.07360095656412298,477,200
K-UPD-HKO,all,all,speaker_size_first_given_set,0.9664823345822064,0.9623462783472813,0.9707115105540176,3034,200
K-UPD-HKO,all,all,listener_size_first,0.16415915604407474,0.16065978887239435,0.1672263250387577,3034,200
K-UPD-HKO,all,all,listener_colour_first,0.15840863623559576,0.1555509548934444,0.161256254955271,3034,200
