semantics,speaker,nobj,sd_spread,color_semvalue,k,wf,n_scenes,mean_big_blue,mean_blue_big,mean_advantage,mcse_advantage
static,incremental_speaker,2,2.0,0.9,0.1,0.3,1000,0.4719057186505732,0.5310702415761867,-0.059164522925613514,0.00331321538305502
static,incremental_speaker,2,2.0,0.9,0.1,0.5,1000,0.4631651584972916,0.5402621131088496,-0.07709695461155806,0.0032486139549534844
static,incremental_speaker,2,2.0,0.9,0.1,0.8,1000,0.45842949620422496,0.5453046272799706,-0.08687513107574564,0.0032486788329031554
static,incremental_speaker,2,2.0,0.92,0.1,0.1,1000,0.5082049704853606,0.4953090502824965,0.012895920202864111,0.004089355446993032
static,incremental_speaker,2,2.0,0.92,0.1,0.2,1000,0.48067026920199984,0.5224440405238178,-0.041773771321817865,0.0036263413703936896
static,incremental_speaker,2,2.0,0.92,0.1,0.3,1000,0.4696381845799167,0.533843148042931,-0.06420496346301431,0.003471291466648072
static,incremental_speaker,2,2.0,0.92,0.1,0.5,1000,0.46083333294139217,0.5431771052380904,-0.08234377229669818,0.0034165553619711674
static,incremental_speaker,2,2.0,0.92,0.1,0.8,1000,0.456055678124773,0.5483096450418984,-0.09225396691712542,0.0034218246175217928
static,incremental_speaker,2,2.0,0.94,0.1,0.1,1000,0.5061014669455651,0.4977055439812784,0.008395922964286715,0.004214872052717012
static,incremental_speaker,2,2.0,0.94,0.1,0.2,1000,0.4784773844586459,0.5251095785493253,-0.046632194090679306,0.003774254342576371
static,incremental_speaker,2,2.0,0.94,0.1,0.3,1000,0.46738117292372133,0.5366633598064884,-0.069282186882767,0.0036313205462035402
static,incremental_speaker,2,2.0,0.94,0.1,0.5,1000,0.4585077989298584,0.5461523898128733,-0.08764459088301489,0.0035865183288657423
static,incremental_speaker,2,2.0,0.94,0.1,0.8,1000,0.4536857682233983,0.5513832671769422,-0.09769749895354403,0.003597163144543594
static,incremental_speaker,2,2.0,0.96,0.1,0.1,1000,0.5040257882594392,0.5001133646842277,0.003912423575211567,0.004342334296449301
static,incremental_speaker,2,2.0,0.96,0.1,0.2,1000,0.47629995925626656,0.5278124178945907,-0.051512458638324106,0.003924233286657651
static,incremental_speaker,2,2.0,0.96,0.1,0.3,1000,0.46513459322284634,0.5395347682507018,-0.07440017502785543,0.0037933681757206265
static,incremental_speaker,2,2.0,0.96,0.1,0.5,1000,0.45618852807967136,0.5491927343149339,-0.09300420623526252,0.003758636503841679
static,incremental_speaker,2,2.0,0.96,0.1,0.8,1000,0.45131975658184376,0.5545309110515907,-0.10321115446974691,0.003774862368648391
static,incremental_speaker,2,2.0,0.98,0.1,0.1,1000,0.5019772231267063,0.502534826114679,-0.0005576029879727282,0.004471662861564724
static,incremental_speaker,2,2.0,0.98,0.1,0.2,1000,0.4741377775361015,0.5305558742731135,-0.05641809673701191,0.0040762920491605225
static,incremental_speaker,2,2.0,0.98,0.1,0.3,1000,0.4628983556792808,0.5424614672756232,-0.07956311159634237,0.0039575197019574345
static,incremental_speaker,2,2.0,0.98,0.1,0.5,1000,0.45387549202688515,0.5523031944410459,-0.0984277024141608,0.003933058110801431
static,incremental_speaker,2,2.0,0.98,0.1,0.8,1000,0.4489576332680286,0.5577583508075209,-0.10880071753949226,0.003955103802325252
static,incremental_speaker,2,2.0,0.9,0.3,0.1,1000,0.5055978162065127,0.4973676167742019,0.00823019943231062,0.0038505328481416006
static,incremental_speaker,2,2.0,0.9,0.3,0.2,1000,0.4805172315926108,0.5221795363464623,-0.04166230475385146,0.003419182253700425
static,incremental_speaker,2,2.0,0.9,0.3,0.3,1000,0.470702224167743,0.5323172457449367,-0.06161502157719369,0.0032916477601882856
static,incremental_speaker,2,2.0,0.9,0.3,0.5,1000,0.46271653318190614,0.5407373487782116,-0.07802081559630543,0.0032456135673504982
static,incremental_speaker,2,2.0,0.9,0.3,0.8,1000,0.4582617870455288,0.5454837194548003,-0.08722193240927163,0.003248798917240338
static,incremental_speaker,2,2.0,0.92,0.3,0.1,1000,0.5034620465875778,0.4997830921069773,0.003678954480600398,0.003977317757595425
static,incremental_speaker,2,2.0,0.92,0.3,0.2,1000,0.4782996761606392,0.5248354283117844,-0.04653575215114529,0.0035679454250056577
static,incremental_speaker,2,2.0,0.92,0.3,0.3,1000,0.4684275397035192,0.5351067443872605,-0.06667920468374126,0.003451255436711365
static,incremental_speaker,2,2.0,0.92,0.3,0.5,1000,0.4603811037760972,0.5436601787772258,-0.08327907500112863,0.003414087909330663
static,incremental_speaker,2,2.0,0.92,0.3,0.8,1000,0.45588641319937406,0.548492057801357,-0.09260564460198287,0.003422135239904237
static,incremental_speaker,2,2.0,0.94,0.3,0.1,1000,0.5013525745477276,0.5022109973425863,-0.0008584227948587029,0.004106122882986199
static,incremental_speaker,2,2.0,0.94,0.3,0.2,1000,0.47609669492928025,0.5275278048119904,-0.0514311098827101,0.0037186833063141554
static,incremental_speaker,2,2.0,0.94,0.3,0.3,1000,0.4661628078318386,0.5379450639320024,-0.07178225610016363,0.0036127761623575994
static,incremental_speaker,2,2.0,0.94,0.3,0.5,1000,0.4580517439445092,0.5466440149791667,-0.08859227103465755,0.003584585697406979
static,incremental_speaker,2,2.0,0.94,0.3,0.8,1000,0.45351486142612046,0.5515693078792431,-0.09805444645312253,0.003597670302533916
static,incremental_speaker,2,2.0,0.96,0.3,0.1,1000,0.4992687809961887,0.5046536541203354,-0.005384873124146704,0.004236848729686598
static,incremental_speaker,2,2.0,0.96,0.3,0.2,1000,0.4739081058062992,0.5302599391471604,-0.056351833340861225,0.003871402186004841
static,incremental_speaker,2,2.0,0.96,0.3,0.3,1000,0.46390795070969876,0.5408361794468947,-0.0769282287371959,0.0037762870534819998
static,incremental_speaker,2,2.0,0.96,0.3,0.5,1000,0.45572842790638207,0.549693675210538,-0.09396524730415595,0.003757244471619151
static,incremental_speaker,2,2.0,0.96,0.3,0.8,1000,0.4511471223607181,0.554720911667321,-0.10357378930660287,0.003775573339954888
static,incremental_speaker,2,2.0,0.98,0.3,0.1,1000,0.4972100664251102,0.5071134367487321,-0.009903370323621862,0.004369426506296079
static,incremental_speaker,2,2.0,0.98,0.3,0.2,1000,0.4717337292559666,0.5330352492554605,-0.06130151999949399,0.004026132787622784
static,incremental_speaker,2,2.0,0.98,0.3,0.3,1000,0.46166289094507384,0.5437842759570353,-0.08212138501196148,0.003941883636295109
static,incremental_speaker,2,2.0,0.98,0.3,0.5,1000,0.4534111298881801,0.5528142704571886,-0.09940314056900841,0.003932215994336151
static,incremental_speaker,2,2.0,0.98,0.3,0.8,1000,0.44878318662448907,0.5579526705442279,-0.10916948391973892,0.0039560271010567775
static,incremental_speaker,2,2.0,0.9,0.5,0.1,1000,0.499662809482802,0.5029870018661728,-0.0033241923833708612,0.0036886376460740717
static,incremental_speaker,2,2.0,0.9,0.5,0.2,1000,0.4778995101312282,0.5248256712828708,-0.0469261611516427,0.0033538652705250365
static,incremental_speaker,2,2.0,0.9,0.5,0.3,1000,0.46938310873806294,0.5336894746173739,-0.06430636587931106,0.003269602490878803
static,incremental_speaker,2,2.0,0.9,0.5,0.5,1000,0.4622126224468441,0.5412715535624955,-0.0790589311156514,0.003242374852717265
static,incremental_speaker,2,2.0,0.9,0.5,0.8,1000,0.458064127032487,0.5456947854026332,-0.08763065837014618,0.003248874262731951
static,incremental_speaker,2,2.0,0.92,0.5,0.1,1000,0.49752061836326344,0.5054401715621692,-0.007919553198905837,0.003820562792037684
static,incremental_speaker,2,2.0,0.92,0.5,0.2,1000,0.4756707909270261,0.5275104672012995,-0.05183967627427326,0.003505969632989614
static,incremental_speaker,2,2.0,0.92,0.5,0.3,1000,0.4671002112582527,0.5364977772709929,-0.0693975660127401,0.0034308843028406275
static,incremental_speaker,2,2.0,0.92,0.5,0.5,1000,0.4598731018784847,0.5442032639423565,-0.08433016206387184,0.0034114481629683325
static,incremental_speaker,2,2.0,0.92,0.5,0.8,1000,0.45568692107889597,0.5487070338553272,-0.09302011277643117,0.0034224362875544785
static,incremental_speaker,2,2.0,0.94,0.5,0.1,1000,0.4954018857248309,0.5079101485926415,-0.012508262867810626,0.003954379506509686
static,incremental_speaker,2,2.0,0.94,0.5,0.2,1000,0.4734554259615534,0.5302344822175741,-0.05677905625602068,0.0036599256867663795
static,incremental_speaker,2,2.0,0.94,0.5,0.3,1000,0.46482664028400955,0.5393566105239986,-0.07452997023998909,0.003594038412441779
static,incremental_speaker,2,2.0,0.94,0.5,0.5,1000,0.4575394012247946,0.5471967894442453,-0.08965738821945068,0.0035825475128817594
static,incremental_speaker,2,2.0,0.94,0.5,0.8,1000,0.45331343583137923,0.5517885559245265,-0.0984751200931473,0.0035982038679852916
static,incremental_speaker,2,2.0,0.96,0.5,0.1,1000,0.49330613513425164,0.5103993308094781,-0.017093195675226453,0.004090010088542567
static,incremental_speaker,2,2.0,0.96,0.5,0.2,1000,0.4712532714534151,0.53300110599876,-0.06174783454534501,0.0038157630807199912
static,incremental_speaker,2,2.0,0.96,0.5,0.3,1000,0.4625623308583227,0.5422700468991113,-0.07970771604078868,0.0037591547997992275
static,incremental_speaker,2,2.0,0.96,0.5,0.5,1000,0.45521149752252044,0.5502570054363539,-0.09504550791383352,0.003755814821467965
static,incremental_speaker,2,2.0,0.96,0.5,0.8,1000,0.45094366257411905,0.5549448225649355,-0.10400115999081651,0.0037763477657265956
static,incremental_speaker,2,2.0,0.98,0.5,0.1,1000,0.4912329027077775,0.5129101783696125,-0.021677275661835048,0.004227405858812441
static,incremental_speaker,2,2.0,0.98,0.5,0.2,1000,0.4690641851346446,0.5358138828501076,-0.0667496977154629,0.003973533171342494
static,incremental_speaker,2,2.0,0.98,0.5,0.3,1000,0.46030721829079946,0.5452423775622606,-0.08493515927146118,0.003926340288578241
static,incremental_speaker,2,2.0,0.98,0.5,0.5,1000,0.4528893678046458,0.5533890861163714,-0.10049971831172559,0.003931405834979942
static,incremental_speaker,2,2.0,0.98,0.5,0.8,1000,0.44857759257795327,0.5581816672193838,-0.1096040746414306,0.003957052199852278
static,incremental_speaker,2,2.0,0.9,0.7,0.1,1000,0.4922517767061552,0.5101343242794338,-0.017882547573278597,0.0034752413190701353
static,incremental_speaker,2,2.0,0.9,0.7,0.2,1000,0.4750462676265762,0.5277427980781256,-0.052696530451549504,0.0032904553636659835
static,incremental_speaker,2,2.0,0.9,0.7,0.3,1000,0.4679551605276757,0.5351822769239347,-0.0672271163962589,0.0032487647674315613
static,incremental_speaker,2,2.0,0.9,0.7,0.5,1000,0.4616526590204868,0.5418658520457791,-0.08021319302529221,0.003239180499929028
static,incremental_speaker,2,2.0,0.9,0.7,0.8,1000,0.4578343613785346,0.5459401631691418,-0.0881058017906073,0.003248953248830201
static,incremental_speaker,2,2.0,0.92,0.7,0.1,1000,0.49009627239220244,0.5126416641977212,-0.0225453918055187,0.0036149368568509413
static,incremental_speaker,2,2.0,0.92,0.7,0.2,1000,0.47280355428311555,0.5304619046290968,-0.057658350345981296,0.003446194107380942
static,incremental_speaker,2,2.0,0.92,0.7,0.3,1000,0.46566283543302917,0.5380118390060153,-0.07234900357298611,0.0034118259636452715
static,incremental_speaker,2,2.0,0.92,0.7,0.5,1000,0.459308518138215,0.5448075641858798,-0.08549904604766491,0.003408915274994317
static,incremental_speaker,2,2.0,0.92,0.7,0.8,1000,0.45545502073261257,0.5489569655863935,-0.09350194485378098,0.0034227779436992603
static,incremental_speaker,2,2.0,0.94,0.7,0.1,1000,0.4879607376558138,0.5151716668291144,-0.027210929173300678,0.0037562432955196307
