model,combination,relevant_property,sharpness,summary_type,category,observed_proportion,predicted_mean,predicted_q025,predicted_q975,observation_count,posterior_predictive_draws,observed_mean,observed_lower,observed_upper,display_response,context,discriminability
Plan-guided,dimension_color,second,sharp,Exact response,S,0,0.00578039832285115,0,0.01257861635220125,477,4000,0,0,0,TRUE,Colour sufficient,High
Plan-guided,dimension_color,second,sharp,Exact response,SC,0.0020964360587002,0.05904874213836477,0.03773584905660377,0.08176100628930817,477,4000,0.0020964360587002,0,0.00628930817610062,TRUE,Colour sufficient,High
Plan-guided,dimension_color,second,sharp,Exact response,SCF,0.0020964360587002,0.02601781970649895,0.01257861635220125,0.03983228511530398,477,4000,0.0020964360587002,0,0.00628930817610062,TRUE,Colour sufficient,High
Plan-guided,dimension_color,second,sharp,Exact response,SF,0,0.01322274633123689,0.00419287211740041,0.02515723270440251,477,4000,0,0,0,TRUE,Colour sufficient,High
Plan-guided,dimension_color,second,sharp,Exact response,SFC,0.00628930817610062,0.00525262054507337,0,0.01257861635220125,477,4000,0.00628930817610062,0,0.01677148846960167,TRUE,Colour sufficient,High
Plan-guided,dimension_color,second,sharp,Exact response,C,0.7148846960167715,0.7692583857442348,0.7316561844863732,0.8071278825995807,477,4000,0.7148846960167715,0.6247379454926625,0.8029350104821803,TRUE,Colour sufficient,High
Plan-guided,dimension_color,second,sharp,Exact response,CDF,0.00419287211740041,0.00418501048218029,0,0.01048218029350104,477,4000,0.00419287211740041,0,0.01048218029350104,TRUE,Colour sufficient,High
Plan-guided,dimension_color,second,sharp,Exact response,CF,0.22851153039832284,0.08099213836477986,0.05660377358490566,0.1069182389937107,477,4000,0.22851153039832284,0.1509433962264151,0.31236897274633124,TRUE,Colour sufficient,High
Plan-guided,dimension_color,second,sharp,Exact response,F,0.02096436058700209,0.01645230607966457,0.00628930817610062,0.02935010482180293,477,4000,0.02096436058700209,0.01048218029350104,0.03354297693920335,TRUE,Colour sufficient,High
Plan-guided,dimension_color,second,sharp,Exact response,FC,0.02096436058700209,0.01249947589098532,0.00419287211740041,0.0230607966457023,477,4000,0.02096436058700209,0.0020964360587002,0.04407756813417209,TRUE,Colour sufficient,High
