contrast,semantics,rule,support,order,parameter_set,mean,variance,groups,mcse,lower_mc95,upper_mc95
fitted_constants_minus_grid_average,fixed,terminal,fifteen,neutral,paired_constants,6.500841531753566e-19,1.4983063936630577e-35,24,1.6128317884662531e-19,3.3396912263597104e-19,9.661991837147423e-19
fitted_constants_minus_grid_average,fixed,terminal,four,neutral,paired_constants,9.89391439147151e-19,1.4528682342421431e-35,24,1.5881878618249685e-19,6.781066182294571e-19,1.3006762600648448e-18
fitted_constants_minus_grid_average,fixed,terminal,two,neutral,paired_constants,1.246907669708956e-18,1.0656396758387451e-35,24,1.3601723720413114e-19,9.80313884788859e-19,1.513501454629053e-18
fitted_constants_minus_grid_average,updating,prefix_k0,fifteen,neutral,paired_constants,-0.012093553735482787,4.970721431480135e-05,24,0.0002937639308599813,-0.01266933103996835,-0.011517776430997224
fitted_constants_minus_grid_average,updating,prefix_k0,four,neutral,paired_constants,-0.008803498009128713,4.810860946669684e-05,24,0.0002890015422713823,-0.009369941031980623,-0.008237054986276804
fitted_constants_minus_grid_average,updating,prefix_k0,two,neutral,paired_constants,0.038963268104734904,0.00018670636000605174,24,0.0005693355654810418,0.03784737039639206,0.040079165813077744
fitted_constants_minus_grid_average,updating,prefix_k05,fifteen,neutral,paired_constants,-0.0010070737166419,4.247450741707766e-05,24,0.0002715519550026474,-0.0015393155484470888,-0.00047483188483671106
fitted_constants_minus_grid_average,updating,prefix_k05,four,neutral,paired_constants,0.03233367154105468,0.00013373751993856812,24,0.0004818539138969319,0.0313892378698167,0.033278105212292665
fitted_constants_minus_grid_average,updating,prefix_k05,two,neutral,paired_constants,0.042671356755802005,0.00019932333495171115,24,0.0005882579846575713,0.04151837110587316,0.04382434240573085
fitted_constants_minus_grid_average,updating,prefix_k1,fifteen,neutral,paired_constants,-0.0013226403873522541,1.8497452672933252e-05,24,0.0001792027709404387,-0.001673877818395514,-0.0009714029563089943
fitted_constants_minus_grid_average,updating,prefix_k1,four,neutral,paired_constants,0.04773438454764062,0.00022464494026254325,24,0.0006245066667736167,0.04651035148076433,0.04895841761451691
fitted_constants_minus_grid_average,updating,prefix_k1,two,neutral,paired_constants,0.04773438454764062,0.00022464494026254325,24,0.0006245066667736167,0.04651035148076433,0.04895841761451691
fitted_constants_minus_grid_average,updating,terminal,fifteen,neutral,paired_constants,-0.006851489398506599,1.5201614332157506e-05,24,0.0001624551985899022,-0.007169901587742807,-0.006533077209270391
fitted_constants_minus_grid_average,updating,terminal,four,neutral,paired_constants,-0.007227727840167401,1.6019887276234944e-05,24,0.00016677021406419972,-0.007554597459733232,-0.006900858220601569
fitted_constants_minus_grid_average,updating,terminal,two,neutral,paired_constants,-0.011377475135604304,2.6368318141306033e-05,24,0.0002139587112188566,-0.011796834209593262,-0.010958116061615345
local_normalizers_minus_raw_prefix,fixed,prefix_k05,fifteen,neutral,fitted_constants,-0.004358687109521712,1.2504032006674957e-06,24,4.659226212632024e-05,-0.0044500079432893,-0.004267366275754124
local_normalizers_minus_raw_prefix,fixed,prefix_k05,fifteen,neutral,original_grid,-0.015395849553406562,2.1432149339640822e-06,24,6.099884638543839e-05,-0.015515407292322021,-0.015276291814491102
local_normalizers_minus_raw_prefix,fixed,prefix_k05,fifteen,stable,fitted_constants,-0.005105893284643892,2.5476261375853254e-06,24,6.650535350194725e-05,-0.005236243777507709,-0.004975542791780075
local_normalizers_minus_raw_prefix,fixed,prefix_k05,four,neutral,fitted_constants,0.0014189650022137753,1.758863151085263e-06,24,5.525922420305071e-05,0.001310656922775796,0.0015272730816517546
local_normalizers_minus_raw_prefix,fixed,prefix_k05,four,neutral,original_grid,-0.039275519230453276,5.083687246554116e-05,24,0.0002970832528796676,-0.039857802406097424,-0.03869323605480913
