model,combination,relevant_property,sharpness,summary_type,category,observed_proportion,predicted_mean,predicted_q025,predicted_q975,observation_count,posterior_predictive_draws
Global,color_form,first,sharp,Exact response,C,0.6918238993710691,0.8333825995807128,0.7987421383647799,0.8658280922431866,477,4000
Global,color_form,first,sharp,Exact response,CD,0.0,0.0025539832285115,0.0,0.0083857442348008,477,4000
Global,color_form,first,sharp,Exact response,CDF,0.0146750524109014,0.0013820754716981,0.0,0.0062893081761006,477,4000
Global,color_form,first,sharp,Exact response,CF,0.2033542976939203,0.0360691823899371,0.020964360587002,0.0545073375262054,477,4000
Global,color_form,first,sharp,Exact response,CFD,0.0,0.0008238993710691,0.0,0.0041928721174004,477,4000
Global,color_form,first,sharp,Exact response,F,0.0,0.0043705450733752,0.0,0.010482180293501,477,4000
Global,color_form,first,sharp,Exact response,FD,0.0,0.0002520964360587,0.0,0.0020964360587002,477,4000
Global,color_form,first,sharp,Exact response,FDC,0.0,0.0007987421383647,0.0,0.0041928721174004,477,4000
Global,color_form,first,sharp,Exact response,FC,0.020964360587002,0.011627358490566,0.0041928721174004,0.020964360587002,477,4000
Global,color_form,first,sharp,Exact response,FCD,0.0,0.000461215932914,0.0,0.0020964360587002,477,4000
Global,color_form,first,sharp,Response length,1,0.70020964360587,0.8406588050314466,0.8071278825995807,0.8721174004192872,477,4000
Global,color_form,first,sharp,Response length,2,0.2452830188679245,0.1371294549266247,0.1069182389937107,0.1677148846960167,477,4000
Global,color_form,first,sharp,Response length,3,0.0545073375262054,0.0222117400419287,0.010482180293501,0.0356394129979035,477,4000
Global,color_form,first,sharp,Initial adjective,D,0.0691823899371069,0.1082783018867924,0.0838050314465409,0.1362683438155136,477,4000
Global,color_form,first,sharp,Initial adjective,C,0.909853249475891,0.8742117400419287,0.8448637316561844,0.90146750524109,477,4000
Global,color_form,first,sharp,Initial adjective,F,0.020964360587002,0.0175099580712788,0.0062893081761006,0.0293501048218029,477,4000
Global,color_form,second,blurred,Exact response,D,0.0,0.0009967592592592,0.0,0.0037037037037037,540,4000
Global,color_form,second,blurred,Exact response,DC,0.0,0.0052333333333333,0.0,0.0129629629629629,540,4000
Global,color_form,second,blurred,Exact response,DCF,0.0425925925925925,0.0495277777777777,0.0314814814814814,0.0685185185185185,540,4000
Global,color_form,second,blurred,Exact response,DF,0.0166666666666666,0.1005518518518518,0.0759259259259259,0.1259259259259259,540,4000
Global,color_form,second,blurred,Exact response,DFC,0.0092592592592592,0.0236175925925925,0.0129629629629629,0.037037037037037,540,4000
Global,color_form,second,blurred,Exact response,C,0.0018518518518518,0.0076060185185185,0.0018518518518518,0.0148148148148148,540,4000
Global,color_form,second,blurred,Exact response,CD,0.0,0.0002606481481481,0.0,0.0018518518518518,540,4000
Global,color_form,second,blurred,Exact response,CDF,0.0,0.0029949074074074,0.0,0.0092592592592592,540,4000
Global,color_form,second,blurred,Exact response,CF,0.2148148148148148,0.1115791666666666,0.0851851851851851,0.1388888888888889,540,4000
Global,color_form,second,blurred,Exact response,CFD,0.0018518518518518,0.001486574074074,0.0,0.0055555555555555,540,4000
Global,color_form,second,blurred,Exact response,F,0.6722222222222223,0.6532949074074075,0.6147685185185185,0.6944444444444444,540,4000
Global,color_form,second,blurred,Exact response,FD,0.0018518518518518,0.0010069444444444,0.0,0.0037037037037037,540,4000
Global,color_form,second,blurred,Exact response,FDC,0.0,0.0019805555555555,0.0,0.0074074074074074,540,4000
Global,color_form,second,blurred,Exact response,FC,0.0388888888888888,0.0390796296296296,0.024074074074074,0.0555555555555555,540,4000
Global,color_form,second,blurred,Exact response,FCD,0.0,0.0007833333333333,0.0,0.0037037037037037,540,4000
Global,color_form,second,blurred,Response length,1,0.674074074074074,0.6618976851851852,0.6240740740740741,0.7000462962962964,540,4000
Global,color_form,second,blurred,Response length,2,0.2722222222222222,0.2577115740740741,0.2203703703703703,0.2944444444444444,540,4000
Global,color_form,second,blurred,Response length,3,0.0537037037037037,0.0803907407407407,0.0592592592592592,0.1037037037037037,540,4000
Global,color_form,second,blurred,Initial adjective,D,0.0685185185185185,0.1799273148148148,0.15,0.2111111111111111,540,4000
Global,color_form,second,blurred,Initial adjective,C,0.2185185185185185,0.1239273148148148,0.0962962962962963,0.1537037037037037,540,4000
Global,color_form,second,blurred,Initial adjective,F,0.7129629629629629,0.6961453703703703,0.6574074074074074,0.7333333333333333,540,4000
Global,color_form,second,sharp,Exact response,D,0.0,0.0016561844863731,0.0,0.0062893081761006,477,4000
Global,color_form,second,sharp,Exact response,DC,0.0,0.0060309224318658,0.0,0.0146750524109014,477,4000
Global,color_form,second,sharp,Exact response,DCF,0.020964360587002,0.0429643605870021,0.0251572327044025,0.060796645702306,477,4000
