id,pattern,measure,value
101,Middle 70%,Size initial,0.4230769230769231
101,Middle 70%,Canonical order,0.9807692307692308
102,Middle 70%,One adjective,0.4444444444444444
102,Middle 70%,Three adjectives,0.09876543209876544
102,Middle 70%,Size initial,0.6666666666666666
102,Middle 70%,Canonical order,0.8666666666666667
103,Successive choice favoured,One adjective,0.2839506172839506
103,Successive choice favoured,Three adjectives,0.2716049382716049
103,Successive choice favoured,Size initial,0.43103448275862066
103,Successive choice favoured,Canonical order,0.9655172413793104
104,Middle 70%,One adjective,0.43209876543209874
104,Middle 70%,Three adjectives,0.32098765432098764
104,Middle 70%,Size initial,0.8043478260869565
104,Middle 70%,Canonical order,0.9347826086956522
105,Middle 70%,One adjective,0.43209876543209874
105,Middle 70%,Three adjectives,0.1111111111111111
105,Middle 70%,Size initial,0.6521739130434783
105,Middle 70%,Canonical order,0.9347826086956522
106,Middle 70%,One adjective,0.6049382716049383
106,Middle 70%,Three adjectives,0.04938271604938271
106,Middle 70%,Size initial,0.6875
106,Middle 70%,Canonical order,0.96875
107,Middle 70%,One adjective,0.4691358024691358
107,Middle 70%,Three adjectives,0.1111111111111111
107,Middle 70%,Size initial,0.5581395348837209
107,Middle 70%,Canonical order,0.9069767441860463
108,Middle 70%,One adjective,0.43209876543209874
108,Middle 70%,Three adjectives,0.16049382716049382
108,Middle 70%,Size initial,0.6956521739130435
108,Middle 70%,Canonical order,1
109,Middle 70%,One adjective,0.5308641975308642
109,Middle 70%,Three adjectives,0.1111111111111111
109,Middle 70%,Size initial,0.631578947368421
109,Middle 70%,Canonical order,1
110,Stable order favoured,One adjective,0.691358024691358
110,Stable order favoured,Three adjectives,0.04938271604938271
110,Stable order favoured,Size initial,0.44
110,Stable order favoured,Canonical order,1
111,Middle 70%,One adjective,0.3950617283950617
111,Middle 70%,Three adjectives,0.25925925925925924
111,Middle 70%,Size initial,0.5714285714285714
111,Middle 70%,Canonical order,1
112,Stable order favoured,One adjective,0
112,Stable order favoured,Three adjectives,0.6790123456790124
112,Stable order favoured,Size initial,0.6790123456790124
112,Stable order favoured,Canonical order,0.9876543209876544
113,Stable order favoured,One adjective,0.5679012345679012
113,Stable order favoured,Three adjectives,0.13580246913580246
113,Stable order favoured,Size initial,0.14285714285714285
113,Stable order favoured,Canonical order,0.4857142857142857
