combination,relevant_property,sharpness,response,n,observed_percent,fixed_predicted_percent,updating_predicted_percent,fixed_residual_pp,updating_residual_pp,fixed_absolute_error_advantage_pp
color_form,first,blurred,CFD,540,0.0,0.2759846045576869,0.27010586014602517,-0.2759846045576869,-0.27010586014602517,-0.0058787444116616995
color_form,first,blurred,D,540,0.5555555555555556,0.2490998995638591,0.25538032139275285,0.3064556559916965,0.30017523416280273,-0.0062804218288937345
color_form,first,blurred,DC,540,1.6666666666666667,7.757664329582996,7.9924053816213,-6.09099766291633,-6.325738714954634,0.23474105203830364
color_form,first,blurred,DCF,540,5.185185185185185,2.8013992236173317,2.8349300882493806,2.3837859615678534,2.350255096935804,-0.03353086463204896
color_form,first,blurred,DF,540,0.7407407407407408,0.4150220808152284,0.4307598566506413,0.32571865992551235,0.30998088409009944,-0.015737775835412884
color_form,first,blurred,DFC,540,0.9259259259259258,0.2569609995102956,0.2612601837759365,0.6689649264156303,0.6646657421499894,-0.00429918426564091
color_form,first,blurred,F,540,0.0,0.38204452593961497,0.3959175244621817,-0.38204452593961497,-0.3959175244621817,0.013872998522566774
color_form,first,blurred,FC,540,1.6666666666666667,0.3921414132240368,0.4092784120995096,1.27452525344263,1.257388254567157,-0.017136998875472848
color_form,first,blurred,FCD,540,0.0,0.03023878549017979,0.030369894451114852,-0.03023878549017979,-0.030369894451114852,0.00013110896093506351
color_form,first,blurred,FD,540,0.0,0.0213264806878376,0.02145491954918037,-0.0213264806878376,-0.02145491954918037,0.00012843886134276754
color_form,first,blurred,FDC,540,0.1851851851851852,0.03399521993897002,0.034346375601026456,0.15118996524621517,0.15083880958415874,-0.0003511556620564406
color_form,first,sharp,C,477,69.18238993710692,83.3544429532338,83.19185274165189,-14.172053016126885,-14.00946280454497,-0.16259021158191445
color_form,first,sharp,CD,477,0.0,0.2543084311661076,0.26099379641293724,-0.2543084311661076,-0.26099379641293724,0.006685365246829637
color_form,first,sharp,CDF,477,1.4675052410901468,0.5119303256662161,0.5059026663709272,0.9555749154239308,0.9616025747192197,0.006027659295288965
color_form,first,sharp,CF,477,20.335429769392032,6.2687234368788864,6.298895753360193,14.066706332513146,14.03653401603184,-0.030172316481305583
color_form,first,sharp,CFD,477,0.0,0.3274271070917122,0.3202613372548132,-0.3274271070917122,-0.3202613372548132,-0.007165769836898952
color_form,first,sharp,D,477,0.8385744234800839,0.3103077508670501,0.319171763643296,0.5282666726130338,0.5194026598367879,-0.008864012776245954
color_form,first,sharp,DC,477,1.0482180293501049,5.879468818623749,5.92187713741417,-4.8312507892736445,-4.873659108064065,0.04240831879042048
color_form,first,sharp,DCF,477,3.1446540880503147,1.5757718269450418,1.5857809928489588,1.5688822611052728,1.5588730952013556,-0.010009165903917053
color_form,first,sharp,DF,477,1.0482180293501049,0.29352157293572184,0.3137214053267691,0.754696456414383,0.7344966240233357,-0.02019983239104732
color_form,first,sharp,DFC,477,0.8385744234800839,0.24582833044326172,0.25208193302092036,0.5927460930368222,0.5864924904591635,-0.006253602577658678
color_form,first,sharp,F,477,0.0,0.40737142153521205,0.42690295920456456,-0.40737142153521205,-0.42690295920456456,0.019531537669352506
color_form,first,sharp,FC,477,2.0964360587002098,0.4764822718065359,0.5065724126559118,1.6199537868936738,1.5898636460442979,-0.03009014084937589
color_form,first,sharp,FCD,477,0.0,0.03488422940298286,0.03530137242207347,-0.03488422940298286,-0.03530137242207347,0.0004171430190906143
color_form,first,sharp,FD,477,0.0,0.021784912602215545,0.022025153115161074,-0.021784912602215545,-0.022025153115161074,0.0002402405129455301
color_form,first,sharp,FDC,477,0.0,0.03774661080150873,0.038658575297427555,-0.03774661080150873,-0.038658575297427555,0.0009119644959188248
color_form,second,blurred,C,540,0.1851851851851852,0.8162544332097587,0.8191443247624053,-0.6310692480245734,-0.63395913957722,0.002889891552646656
color_form,second,blurred,CD,540,0.0,0.024583936589374664,0.024920188637224127,-0.024583936589374664,-0.024920188637224127,0.00033625204784946397
color_form,second,blurred,CDF,540,0.0,0.2091699158163268,0.2084254752398186,-0.2091699158163268,-0.2084254752398186,-0.0007444405765081805
color_form,second,blurred,CF,540,21.48148148148148,10.542514142181037,10.56069079897835,10.938967339300445,10.920790682503133,-0.018176656797312674
color_form,second,blurred,CFD,540,0.1851851851851852,0.32983736264272334,0.3240505223634799,-0.14465217745753814,-0.13886533717829475,-0.005786840279243394
color_form,second,blurred,D,540,0.0,0.10578820608842751,0.10851662087082062,-0.10578820608842751,-0.10851662087082062,0.002728414782393108
color_form,second,blurred,DC,540,0.0,0.6171769580811305,0.6392729172122285,-0.6171769580811305,-0.6392729172122285,0.022095959131097995
color_form,second,blurred,DCF,540,4.2592592592592595,5.026794993277047,4.90686537458952,-0.767535734017788,-0.6476061153302612,-0.11992961868752677
color_form,second,blurred,DF,540,1.6666666666666667,12.92088211169573,12.974854222900737,-11.254215445029065,-11.30818755623407,0.05397211120500567
color_form,second,blurred,DFC,540,0.9259259259259258,2.07357640724335,2.036565586947334,-1.1476504813174238,-1.1106396610214078,-0.037010820296016
color_form,second,blurred,F,540,67.22222222222223,64.00447409980087,64.02638484741597,3.21774812242136,3.195837374806265,-0.021910747615094817
