fixed,updating,partition,level,factor,n,delta_elpd
K-HKO,K-UPD-HKO,annotation,C,length,1600,-10.341697039417717
K-HKO,K-UPD-HKO,annotation,C,set_given_length,1600,-8.272024798696542
K-HKO,K-UPD-HKO,annotation,C,order_given_set,1600,0.0
K-HKO,K-UPD-HKO,annotation,CD,response,11,0.7452226767163879
K-HKO,K-UPD-HKO,annotation,CD,length,11,0.09219649605846547
K-HKO,K-UPD-HKO,annotation,CD,set_given_length,11,-0.029378129763750538
K-HKO,K-UPD-HKO,annotation,CD,order_given_set,11,0.682404310421673
K-HKO,K-UPD-HKO,annotation,CDF,response,157,-4.261230140902134
K-HKO,K-UPD-HKO,annotation,CDF,length,157,-3.864948963368372
K-HKO,K-UPD-HKO,annotation,CDF,set_given_length,157,0.0
K-HKO,K-UPD-HKO,annotation,CDF,order_given_set,157,-0.3962811775337624
K-HKO,K-UPD-HKO,annotation,CF,response,2324,0.8081392660205993
K-HKO,K-UPD-HKO,annotation,CF,length,2324,13.241952617784214
K-HKO,K-UPD-HKO,annotation,CF,set_given_length,2324,-3.3649654949057215
K-HKO,K-UPD-HKO,annotation,CF,order_given_set,2324,-9.068847856857886
K-HKO,K-UPD-HKO,annotation,CFD,response,14,0.5333151424547538
K-HKO,K-UPD-HKO,annotation,CFD,length,14,-0.11092003328493805
K-HKO,K-UPD-HKO,annotation,CFD,set_given_length,14,0.0
K-HKO,K-UPD-HKO,annotation,CFD,order_given_set,14,0.6442351757396907
K-HKO,K-UPD-HKO,annotation,D,response,333,-3.78013258551298
K-HKO,K-UPD-HKO,annotation,D,length,333,-10.399739051970869
K-HKO,K-UPD-HKO,annotation,D,set_given_length,333,6.61960646645789
K-HKO,K-UPD-HKO,annotation,D,order_given_set,333,0.0
K-HKO,K-UPD-HKO,annotation,DC,response,310,2.366937453443132
K-HKO,K-UPD-HKO,annotation,DC,length,310,-1.0137112240408594
K-HKO,K-UPD-HKO,annotation,DC,set_given_length,310,3.432804261631987
K-HKO,K-UPD-HKO,annotation,DC,order_given_set,310,-0.05215558414798424
K-HKO,K-UPD-HKO,annotation,DCF,response,1271,-10.420290983564591
K-HKO,K-UPD-HKO,annotation,DCF,length,1271,-10.71396822466123
K-HKO,K-UPD-HKO,annotation,DCF,set_given_length,1271,0.0
K-HKO,K-UPD-HKO,annotation,DCF,order_given_set,1271,0.2936772410966401
K-HKO,K-UPD-HKO,annotation,DF,response,1023,-33.69892956094236
K-HKO,K-UPD-HKO,annotation,DF,length,1023,-4.038433545831852
K-HKO,K-UPD-HKO,annotation,DF,set_given_length,1023,-29.37821531983859
K-HKO,K-UPD-HKO,annotation,DF,order_given_set,1023,-0.2822806952719224
K-HKO,K-UPD-HKO,annotation,DFC,response,171,-2.3525163576636183
K-HKO,K-UPD-HKO,annotation,DFC,length,171,-2.9536030978899204
K-HKO,K-UPD-HKO,annotation,DFC,set_given_length,171,0.0
K-HKO,K-UPD-HKO,annotation,DFC,order_given_set,171,0.6010867402263071
K-HKO,K-UPD-HKO,annotation,F,response,1607,7.064289691235158
K-HKO,K-UPD-HKO,annotation,F,length,1607,7.277578658469843
K-HKO,K-UPD-HKO,annotation,F,set_given_length,1607,-0.21328896723469348
K-HKO,K-UPD-HKO,annotation,F,order_given_set,1607,0.0
K-HKO,K-UPD-HKO,annotation,FC,response,248,6.027148115396391
K-HKO,K-UPD-HKO,annotation,FC,length,248,0.9608923540801895
K-HKO,K-UPD-HKO,annotation,FC,set_given_length,248,0.30501744478517273
K-HKO,K-UPD-HKO,annotation,FC,order_given_set,248,4.761238316531033
K-HKO,K-UPD-HKO,annotation,FCD,response,7,0.050022535140608504
K-HKO,K-UPD-HKO,annotation,FCD,length,7,-0.010967952371796708
K-HKO,K-UPD-HKO,annotation,FCD,set_given_length,7,0.0
K-HKO,K-UPD-HKO,annotation,FCD,order_given_set,7,0.060990487512404545
K-HKO,K-UPD-HKO,annotation,FD,response,11,0.7167304099432781
K-HKO,K-UPD-HKO,annotation,FD,length,11,-0.043880123371147106
K-HKO,K-UPD-HKO,annotation,FD,set_given_length,11,-0.16741482028204457
K-HKO,K-UPD-HKO,annotation,FD,order_given_set,11,0.9280253535964706
K-HKO,K-UPD-HKO,annotation,FDC,response,13,0.6746273479256972
K-HKO,K-UPD-HKO,annotation,FDC,length,13,0.370227294001617
K-HKO,K-UPD-HKO,annotation,FDC,set_given_length,13,0.0
K-HKO,K-UPD-HKO,annotation,FDC,order_given_set,13,0.30440005392408054
