relevant_property,sharpness,annotation_seq_flat,n,nt,emp_prop,utt,p_v1,p_v5,d_v1,d_v5
second,blurred,9,0.0,0.0,0.0,CFD,0.018738977072310405,0.022786596119929454,0.018738977072310405,0.022786596119929454
second,blurred,10,25.0,567.0,0.04409171075837742,F,0.015229276895943562,0.01164021164021164,-0.02886243386243386,-0.032451499118165784
second,blurred,11,0.0,0.0,0.0,FD,0.014867724867724868,0.012019400352733684,0.014867724867724868,0.012019400352733684
second,blurred,12,0.0,0.0,0.0,FDC,0.015149911816578482,0.01265743858336451,0.015149911816578482,0.01265743858336451
second,blurred,13,11.0,567.0,0.019400352733686066,FC,0.01649911816578483,0.011834215167548501,-0.0029012345679012355,-0.0075661375661375645
second,blurred,14,0.0,0.0,0.0,FCD,0.014462081128747795,0.011631393298059964,0.014462081128747795,0.011631393298059964
second,sharp,0,0.0,0.0,0.0,D,0.019484126984126982,0.012569444444444444,0.019484126984126982,0.012569444444444444
second,sharp,1,1.0,504.0,0.001984126984126984,DC,0.04642857142857142,0.017569444444444443,0.04444444444444444,0.015585317460317459
second,sharp,2,1.0,504.0,0.001984126984126984,DCF,0.041696428571428565,0.015535714285714285,0.03971230158730158,0.0135515873015873
second,sharp,3,0.0,0.0,0.0,DF,0.01478174603174603,0.012142857142857143,0.01478174603174603,0.012142857142857143
second,sharp,4,3.0,504.0,0.005952380952380952,DFC,0.01595238095238095,0.012014437265693546,0.009999999999999998,0.006062056313312594
second,sharp,5,361.0,504.0,0.7162698412698413,C,0.4033035714285715,0.4155357142857143,-0.3129662698412698,-0.300734126984127
second,sharp,6,0.0,0.0,0.0,CD,0.014613095238095238,0.014722222222222222,0.014613095238095238,0.014722222222222222
second,sharp,7,2.0,504.0,0.003968253968253968,CDF,0.10792658730158729,0.11895833333333333,0.10395833333333332,0.11499007936507936
second,sharp,8,116.0,504.0,0.23015873015873015,CF,0.23963293650793652,0.2980357142857143,0.009474206349206371,0.06787698412698415
second,sharp,9,0.0,0.0,0.0,CFD,0.01907738095238095,0.02206349206349206,0.01907738095238095,0.02206349206349206
second,sharp,10,10.0,504.0,0.01984126984126984,F,0.015376984126984126,0.011815027518545107,-0.004464285714285714,-0.008026242322724733
second,sharp,11,0.0,0.0,0.0,FD,0.014067460317460317,0.012053571428571427,0.014067460317460317,0.012053571428571427
second,sharp,12,0.0,0.0,0.0,FDC,0.015396825396825395,0.012182539682539682,0.015396825396825395,0.012182539682539682
second,sharp,13,10.0,504.0,0.01984126984126984,FC,0.016765873015873015,0.012470238095238095,-0.003075396825396825,-0.007371031746031745
second,sharp,14,0.0,0.0,0.0,FCD,0.015496031746031744,0.012450396825396826,0.015496031746031744,0.012450396825396826
