base_d,base_c,base_f,lambda_scale,rho_scale,beta_scale,color_sem,stage,r,r2,mae,rmse,second_c_abs,second_c_signed,both_c_abs,both_c_signed,first_c_abs,balanced_loss
0.0,1.6,0.0,0.75,1.25,0.85,0.7,top_base_param_grid,0.6511546243952774,0.42400234487135474,0.058561135583630915,0.09929299643257578,0.13711326394552065,-0.13711326394552065,0.35920786494290446,0.35920786494290446,0.12021317034421845,0.41601019284954865
0.3,1.9,0.25,1.0,1.25,1.15,0.59,top_base_param_grid,0.6280158388847912,0.394403893890168,0.06048878553023388,0.10477477737647516,0.12676407967084719,-0.12676407967084719,0.3693820648816786,0.3693820648816786,0.14184030591903612,0.41622988948816164
0.0,1.9,0.0,1.0,1.25,1.0,0.59,top_base_param_grid,0.572241067333036,0.3274598391424523,0.0633251450056886,0.1161155816121961,0.06170483503812624,-0.06170483503812624,0.47727517420327287,0.47727517420327287,0.23338314592300338,0.41645800375195874
0.3,1.9,0.25,1.25,1.25,1.15,0.59,top_base_param_grid,0.5867911503965398,0.34432385418369466,0.06293885957275085,0.1147146501278172,0.06864844832891298,-0.06864844832891298,0.4666505270627699,0.4666505270627699,0.19611382930932922,0.4166883619881151
0.0,1.6,0.0,0.75,1.25,1.15,0.7,top_base_param_grid,0.6684869254091319,0.4468747694429543,0.057612448782604214,0.09718335586760408,0.17135693703168703,-0.17135693703168703,0.29668271178280925,0.29668271178280925,0.08390555232225343,0.4168816487906957
0.3,2.2,0.0,0.75,1.25,0.85,0.59,top_base_param_grid,0.5813040991416528,0.3379144556788885,0.06451843569805049,0.1110113915865608,0.10386418376439882,-0.10386418376439882,0.4041015022424421,0.4041015022424421,0.19229966103492663,0.4169263264721807
0.3,2.2,0.0,0.75,1.0,1.15,0.7,top_base_param_grid,0.6225979186369123,0.3876281682910152,0.06146903263725788,0.10583784133843586,0.13187240634435488,-0.13187240634435488,0.35871836179768657,0.35871836179768657,0.11625268756805344,0.41706942858163404
0.3,1.9,0.0,1.25,1.25,1.15,0.59,top_base_param_grid,0.5618475788435843,0.31567270185239765,0.06670631409863313,0.12062472475176333,0.05305647823755916,-0.04171680484289003,0.48727841311966996,0.48727841311966996,0.20498592107950134,0.4173204095491575
0.3,1.9,0.25,0.75,1.0,1.15,0.8,top_base_param_grid,0.6860830102268929,0.47070989692199483,0.05606894107183237,0.09502276932728519,0.16545092139715029,-0.16545092139715029,0.3137333952811918,0.3137333952811918,0.06569595336376115,0.4173403883650314
0.3,2.2,0.0,0.75,1.25,1.0,0.59,top_base_param_grid,0.5923585639615967,0.35088866829864507,0.06412517480666922,0.10944712835351932,0.1217986551331885,-0.1217986551331885,0.3726675176051817,0.3726675176051817,0.16559121459184573,0.41757954228929867
0.3,1.9,0.0,1.0,1.0,1.15,0.8,top_base_param_grid,0.6063814538679124,0.3676984675949632,0.0615199333596449,0.11151606071144342,0.09148477588170839,-0.09148477588170839,0.42936153346573924,0.42936153346573924,0.10138749405203744,0.41768160332602144
0.3,1.9,0.25,1.0,1.25,1.0,0.59,top_base_param_grid,0.6138150972858198,0.3767689736560005,0.06108447996483875,0.1067513841964331,0.11144067917341066,-0.11144067917341066,0.39994786316430186,0.39994786316430186,0.16689277886806414,0.4181659949519947
0.0,1.6,0.0,1.0,1.25,1.15,0.59,top_base_param_grid,0.6336379452170625,0.4014970456189011,0.059762607260529906,0.10366437294364562,0.1314242688226111,-0.1314242688226111,0.3661565744308195,0.3661565744308195,0.1406070895439236,0.41816692898166646
