model,semantics,sufficient_form_pair_boost,three_word_penalty,summary_type,scope,n_cells,mae,rmse,kl_empirical_to_model
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.5,0.25,length,overall,18,0.07787080147407538,0.09484642889543562,0.05514380796326642
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.5,0.25,order,overall,24,0.05714324537077619,0.08236976869144932,0.06087611636020476
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.5,0.25,overinformativeness,overall,14,0.08533618200639628,0.10426921127285818,0.03609807083407705
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.5,0.25,selection,overall,24,0.05358555218338348,0.06649117737527128,0.08179993255343537
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.5,0.5,length,overall,18,0.06646838945069035,0.07833843714505177,0.04144513193784903
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.5,0.5,order,overall,24,0.06092885817419277,0.083098111871391,0.06078824652662411
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.5,0.5,overinformativeness,overall,14,0.07517145893052267,0.09293923408067647,0.030372182184576352
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.5,0.5,selection,overall,24,0.055677370961406215,0.06863667802022035,0.08551455166659838
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.5,0.75,length,overall,18,0.06369638049079641,0.07652003205769477,0.03877091684573702
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.5,0.75,order,overall,24,0.06457898337456426,0.08541485749014525,0.06268267386481974
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.5,0.75,overinformativeness,overall,14,0.07408215318538272,0.09122319825957495,0.03061767181942458
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.5,0.75,selection,overall,24,0.057653585299991435,0.07187206400669187,0.09044422104009246
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.5,1.0,length,overall,18,0.07171508274283102,0.08728812143239216,0.04616807826016467
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.5,1.0,order,overall,24,0.06862900266486212,0.0887527445547936,0.06594284612169307
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.5,1.0,overinformativeness,overall,14,0.08541316007677902,0.09788247323513237,0.03620739536414592
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.5,1.0,selection,overall,24,0.060857117672497685,0.07567438954072328,0.09600105541595307
