bias,color_semvalue,gamma,k,sigma,steepness,wf
0.30136043,0.9397459,3.3582177,0.24752484,0.09999897,1.0694239,0.8993824
0.30268955,0.9397056,3.353761,0.256173,0.099998906,1.0486419,0.90269506
0.27862716,0.9402286,3.37618,0.33030102,0.099997036,0.57631934,0.90123034
0.26055658,0.93975854,3.4052036,0.32500726,0.099997245,0.88681555,0.89906085
0.315861,0.93979853,3.289146,0.2474448,0.09999724,1.2448684,0.8971801
0.3261996,0.9394218,3.2776017,0.31748176,0.09999796,0.9122109,0.91838795
0.32863057,0.9394225,3.259024,0.30326778,0.099998154,0.96772254,0.91564316
0.28230762,0.93970263,3.3320808,0.3470404,0.09999969,0.9044796,0.9095837
0.30141658,0.9397533,3.4263387,0.19638726,0.09999775,0.62290716,0.9016423
0.27773583,0.9402021,3.394496,0.3811202,0.09999517,0.56087106,0.91010016
0.29130912,0.9390747,3.505807,0.13429965,0.09999975,0.76582193,0.88598424
0.2767504,0.93919384,3.4994862,0.22848232,0.09999993,0.6753314,0.8963295
0.27134174,0.939329,3.4282265,0.343029,0.09999992,0.5796725,0.9230906
0.27193135,0.93943703,3.4885874,0.32009974,0.09999982,0.5557216,0.9142218
0.31107652,0.93968725,3.3161733,0.30985758,0.09998895,0.9026599,0.9207522
0.2719086,0.93962276,3.5141985,0.32210094,0.09999986,0.5196603,0.9218983
0.2756928,0.93966055,3.4110909,0.40126443,0.0999999,0.5415411,0.9334494
0.28788984,0.9397316,3.4528356,0.29549432,0.0999999,0.46354893,0.92498976
0.3106855,0.9402176,3.227914,0.43990135,0.09999974,0.44262087,0.9449106
0.3149393,0.93993944,3.273314,0.27720878,0.09999812,0.7502033,0.91410387
0.26926178,0.9395882,3.559856,0.29038987,0.09999686,0.4680497,0.9046986
0.30369976,0.93987215,3.2554977,0.32773796,0.09999789,0.69664717,0.9165154
0.33539924,0.93985546,3.2692657,0.32192326,0.09999664,0.5055528,0.92644095
0.32243547,0.93955576,3.3137016,0.28636375,0.09999849,0.69043076,0.9135346
0.3281253,0.93973416,3.254564,0.30081698,0.09999877,0.8211762,0.91091734
0.29371458,0.93992025,3.3138976,0.37133905,0.099993326,0.6890658,0.904575
0.27449024,0.9393514,3.4519186,0.39140302,0.099990085,0.5695729,0.9048626
0.31864437,0.94033635,3.1351113,0.34463683,0.09999956,0.9298972,0.9218834
0.26941666,0.93923366,3.693461,0.24948135,0.0999933,0.3670757,0.91003174
0.31072205,0.9395521,3.4140863,0.32533073,0.09999501,0.41664365,0.93301976
0.28007865,0.9397623,3.6829913,0.23138408,0.09999943,0.3825978,0.9005088
0.27800328,0.9397801,3.298168,0.33477712,0.09999907,0.90066385,0.90740657
0.2740012,0.9396794,3.4877522,0.33964986,0.09999587,0.49219263,0.9190435
0.27462655,0.9396732,3.4891028,0.34276453,0.099995814,0.47282922,0.9197913
0.2735671,0.9396465,3.515329,0.33356416,0.09999611,0.42633852,0.9197055
0.26550713,0.9395827,3.3721685,0.31510076,0.099998295,0.6935074,0.91369736
0.31769377,0.9398899,3.1928663,0.3536202,0.099999845,1.0783186,0.9133978
0.29113436,0.939609,3.370354,0.38326365,0.09999998,0.5186532,0.9286631
0.25785407,0.93907887,3.6979089,0.22246456,0.099999845,0.42426842,0.9116772
0.3210347,0.9403019,3.2211318,0.31435794,0.09999999,0.74954176,0.9088472
0.27558926,0.93957543,3.4081292,0.2940731,0.09999999,0.699587,0.9090172
0.2592537,0.9396188,3.5595038,0.23163767,0.099999964,0.86935544,0.889107
0.31375355,0.94046116,3.3036008,0.20522968,0.09999932,1.9028151,0.8943227
0.2479827,0.9394234,3.4538236,0.37825882,0.09999998,1.1079713,0.90042037
0.26754206,0.9401368,3.3799272,0.30256993,0.09999972,1.3716425,0.9017216
0.32255578,0.9406519,3.1357791,0.40000346,0.099999905,1.6348637,0.90669596
0.26642993,0.93975115,3.4208124,0.29443836,0.09999999,1.0513942,0.8996512
0.3207037,0.939839,3.231178,0.31314668,0.09999969,1.042218,0.9117416
0.27180025,0.93968654,3.372365,0.329728,0.09999981,0.8921097,0.90755117
0.292584,0.93964493,3.292226,0.34863356,0.09999446,0.7193929,0.92265415
0.27837476,0.9399271,3.4443626,0.2467379,0.09999913,0.89722997,0.88650316
0.2786504,0.9399129,3.4701047,0.23750074,0.09999877,0.8769343,0.8775474
0.32103074,0.9395749,3.155217,0.3991775,0.099995844,0.7480227,0.9407291
0.25980902,0.9398439,3.494554,0.30286855,0.099998645,0.56600314,0.8992475
0.2859461,0.9394975,3.393834,0.2968796,0.099994086,0.67098373,0.91198564
0.27675912,0.9396033,3.4059734,0.311041,0.09999593,0.65952057,0.9129603
0.3269901,0.94004834,3.222546,0.30939478,0.09999857,0.67368555,0.9200437
0.24819668,0.93913823,3.5205662,0.32789555,0.099999525,0.65439326,0.9063801
0.23704998,0.93909967,3.7821078,0.23210159,0.09999932,0.45713332,0.894962
0.2648145,0.9394324,3.4185483,0.2892248,0.099998236,0.65960425,0.9068589
0.27774486,0.93947625,3.4457262,0.27539477,0.099994086,0.55485505,0.91745883
0.30162045,0.9398825,3.2688618,0.36896583,0.099999025,0.89816606,0.91304845
0.30790383,0.9393551,3.298085,0.29648978,0.09999954,0.6237372,0.9340641
0.33389312,0.94021714,3.1124604,0.40709382,0.09999045,0.8492843,0.93036044
0.2991384,0.93939143,3.2997289,0.3303385,0.09999917,0.65704453,0.9221791
0.30002832,0.93976426,3.3184342,0.2954917,0.09999814,0.9007801,0.90682167
0.287515,0.93948114,3.337289,0.31767884,0.09999891,0.8084916,0.9099541
0.29128283,0.93969,3.4211924,0.24611455,0.099996224,0.6264714,0.9066652
0.28955513,0.93995464,3.3938968,0.31978965,0.09999843,0.5209571,0.9035204
0.28742102,0.939699,3.403339,0.3341,0.09999689,0.5473787,0.9194454
0.2792122,0.9398099,3.5141416,0.37928602,0.09999859,0.3218199,0.93575233
0.28123716,0.9398761,3.494833,0.38452852,0.099998765,0.3290637,0.9363611
0.2719875,0.93966335,3.4532495,0.3182894,0.09999974,0.4604422,0.9326396
0.27529806,0.93977416,3.4376786,0.3198775,0.099999644,0.44915524,0.9337124
0.27674475,0.9395134,3.3907616,0.39695346,0.09999907,0.40356162,0.95021206
0.2805892,0.9387963,3.607801,0.3470257,0.09999949,0.3521995,0.9568378
0.2894962,0.93874294,3.6122615,0.3221766,0.09999933,0.30437768,0.9570695
0.28581944,0.9395516,3.4217422,0.35649613,0.09999905,0.666471,0.9077119
