relevant_property,sharpness,utterance_code,utterance_label,human_mean,human_lo,human_hi,n,model_mean,model_lo,model_hi,diff,label,condition
second,sharp,5,C,0.7162698412698413,0.6765873015873016,0.7559523809523809,504,0.4018095238095238,0.3541170634920635,0.44841269841269843,-0.3144603174603175,second | sharp | C,second | sharp
second,sharp,6,CD,0.0,0.0,0.0,504,0.01490884171607063,0.005952380952380952,0.026934523809523787,0.01490884171607063,second | sharp | CD,second | sharp
second,sharp,7,CDF,0.003968253968253968,0.0,0.00992063492063492,504,0.10842857142857143,0.08229166666666667,0.13596230158730155,0.10446031746031746,second | sharp | CDF,second | sharp
second,sharp,8,CF,0.23015873015873015,0.19246031746031747,0.26587301587301587,504,0.2406785714285714,0.2033234126984127,0.27976190476190477,0.010519841269841262,second | sharp | CF,second | sharp
second,sharp,9,CFD,0.0,0.0,0.0,504,0.018940476190476188,0.007936507936507936,0.031746031746031744,0.018940476190476188,second | sharp | CFD,second | sharp
second,sharp,10,F,0.01984126984126984,0.00992063492063492,0.031746031746031744,504,0.014607142857142857,0.005952380952380952,0.025793650793650792,-0.0052341269841269834,second | sharp | F,second | sharp
second,sharp,11,FD,0.0,0.0,0.0,504,0.014803416356522568,0.005952380952380952,0.025793650793650792,0.014803416356522568,second | sharp | FD,second | sharp
second,sharp,12,FDC,0.0,0.0,0.0,504,0.015220918026529247,0.005952380952380952,0.025793650793650792,0.015220918026529247,second | sharp | FDC,second | sharp
second,sharp,13,FC,0.01984126984126984,0.00992063492063492,0.03373015873015873,504,0.016293650793650794,0.005952380952380952,0.027777777777777776,-0.003547619047619046,second | sharp | FC,second | sharp
second,sharp,14,FCD,0.0,0.0,0.0,504,0.014785714285714284,0.005952380952380952,0.025793650793650792,0.014785714285714284,second | sharp | FCD,second | sharp
