relevant_property,sharpness,utterance_code,utterance_label,human_mean,human_lo,human_hi,n,model_mean,model_lo,model_hi,condition
both,blurred,0,D,0.0,0.0,0.0,566,0.012169611307420494,0.0035335689045936395,0.022968197879858657,both | blurred
first,blurred,7,CDF,0.039711191335740074,0.02527075812274368,0.05600180505415137,554,0.05110830324909747,0.032490974729241874,0.0703971119133574,first | blurred
first,blurred,8,CF,0.08664259927797834,0.06498194945848375,0.11191335740072202,554,0.0810361010830325,0.05776173285198556,0.10649819494584838,first | blurred
first,blurred,9,CFD,0.0,0.0,0.0,554,0.01956678700361011,0.009025270758122744,0.032490974729241874,first | blurred
first,blurred,10,F,0.03790613718411552,0.023465703971119134,0.05415162454873646,554,0.05002527075812274,0.032490974729241874,0.0695397111913357,first | blurred
first,blurred,11,FD,0.009025270758122744,0.0018050541516245488,0.018050541516245487,554,0.003022295279809403,0.0018050541516245488,0.007220216606498195,first | blurred
first,blurred,12,FDC,0.0036101083032490976,0.0,0.009025270758122744,554,0.009582071736345638,0.0018050541516245488,0.019855595667870037,first | blurred
first,blurred,13,FC,0.016245487364620937,0.007220216606498195,0.02707581227436823,554,0.022267148014440432,0.010830324909747292,0.03429602888086643,first | blurred
first,blurred,14,FCD,0.0036101083032490976,0.0,0.009025270758122744,554,0.0050977482714311935,0.0018050541516245488,0.010830324909747292,first | blurred
first,sharp,0,D,0.2689243027888446,0.2290836653386454,0.30876494023904383,502,0.12477290836653387,0.08964143426294821,0.16135458167330677,first | sharp
first,sharp,1,DC,0.045816733067729085,0.027888446215139442,0.06573705179282868,502,0.07345418326693227,0.049800796812749,0.09760956175298804,first | sharp
first,sharp,2,DCF,0.2051792828685259,0.17131474103585656,0.24108565737051765,502,0.3780438247011952,0.3356075697211155,0.4243027888446215,first | sharp
first,sharp,3,DF,0.23107569721115537,0.19516932270916335,0.2689243027888446,502,0.17266932270916333,0.14342629482071714,0.2051792828685259,first | sharp
