variant,alpha,order_bias,usefulness_order_scale,signed_order_scale,planned_mixture_weight,observation_rmse,observation_mae,observation_correlation,observation_r2,condition_rmse,condition_mae,condition_abs_zrdc_residual,condition_abs_erdc_residual,condition_abs_brdc_residual,mechanism_count,free_parameter_count,description,grid_id,elpd_loo,elpd_loo_se,grid_pareto_frontier
planned_usefulness_mixture,1.0,0.75,0.0,,0.0,0.37313031244519307,0.3369531217129496,0.2876821690823677,0.082761030407936,0.07817102224553996,0.06363794132795735,0.010854313381281478,0.1113160043911381,0.06874350621145243,5,5,convex mixture of greedy local and planned usefulness-order speakers,202,,,False
planned_usefulness_mixture,1.0,0.75,0.5,,0.0,0.37313031244519307,0.3369531217129496,0.2876821690823677,0.082761030407936,0.07817102224553996,0.06363794132795735,0.010854313381281478,0.1113160043911381,0.06874350621145243,5,5,convex mixture of greedy local and planned usefulness-order speakers,208,,,False
planned_usefulness_mixture,1.0,0.75,1.0,,0.0,0.37313031244519307,0.3369531217129496,0.2876821690823677,0.082761030407936,0.07817102224553996,0.06363794132795735,0.010854313381281478,0.1113160043911381,0.06874350621145243,5,5,convex mixture of greedy local and planned usefulness-order speakers,214,,,False
planned_usefulness_mixture,1.0,0.75,1.5,,0.0,0.37313031244519307,0.3369531217129496,0.2876821690823677,0.082761030407936,0.07817102224553996,0.06363794132795735,0.010854313381281478,0.1113160043911381,0.06874350621145243,5,5,convex mixture of greedy local and planned usefulness-order speakers,220,,,False
planned_usefulness_mixture,1.0,0.75,2.0,,0.0,0.37313031244519307,0.3369531217129496,0.2876821690823677,0.082761030407936,0.07817102224553996,0.06363794132795735,0.010854313381281478,0.1113160043911381,0.06874350621145243,5,5,convex mixture of greedy local and planned usefulness-order speakers,226,,,False
planned_usefulness_mixture,1.0,0.75,3.0,,0.0,0.37313031244519307,0.3369531217129496,0.2876821690823677,0.082761030407936,0.07817102224553996,0.06363794132795735,0.010854313381281478,0.1113160043911381,0.06874350621145243,5,5,convex mixture of greedy local and planned usefulness-order speakers,232,,,False
planned_usefulness_mixture,1.0,0.75,4.0,,0.0,0.37313031244519307,0.3369531217129496,0.2876821690823677,0.082761030407936,0.07817102224553996,0.06363794132795735,0.010854313381281478,0.1113160043911381,0.06874350621145243,5,5,convex mixture of greedy local and planned usefulness-order speakers,238,,,False
planned_usefulness_mixture,1.0,0.75,6.0,,0.0,0.37313031244519307,0.3369531217129496,0.2876821690823677,0.082761030407936,0.07817102224553996,0.06363794132795735,0.010854313381281478,0.1113160043911381,0.06874350621145243,5,5,convex mixture of greedy local and planned usefulness-order speakers,244,,,False
planned_usefulness_mixture,1.0,0.75,8.0,,0.0,0.37313031244519307,0.3369531217129496,0.2876821690823677,0.082761030407936,0.07817102224553996,0.06363794132795735,0.010854313381281478,0.1113160043911381,0.06874350621145243,5,5,convex mixture of greedy local and planned usefulness-order speakers,250,,,False
planned_usefulness_mixture,1.0,0.75,4.0,,0.5,0.3732613142230697,0.3366493995303294,0.2877914229247346,0.08282390310904345,0.07834395155748494,0.06910390237147078,0.02853083350013392,0.10301465659820845,0.07576621701606995,5,5,convex mixture of greedy local and planned usefulness-order speakers,240,,,False
planned_usefulness_mixture,1.0,0.75,3.0,,0.25,0.3732035497537265,0.3370111480224983,0.2879226181179048,0.08289943402386885,0.07843734547647843,0.06542768922029941,0.01636127311146324,0.11004148778390602,0.06988030676552896,5,5,convex mixture of greedy local and planned usefulness-order speakers,233,,,False
planned_usefulness_mixture,1.0,0.75,2.0,,0.25,0.37319419323601777,0.33707738080398025,0.2877853631325598,0.08282041523333931,0.0785575959043713,0.0637475839131853,0.010710958514643812,0.11299454275958717,0.06753725046532491,5,5,convex mixture of greedy local and planned usefulness-order speakers,227,,,False
planned_usefulness_mixture,3.0,1.0,6.0,,0.75,0.3739508214540906,0.3237436226113388,0.2874580886849798,0.08263215275042171,0.07885055861687354,0.06410193539006333,0.11642744776479885,0.021503431453664328,0.0543749269517268,5,5,convex mixture of greedy local and planned usefulness-order speakers,1699,,,False
planned_usefulness_mixture,1.0,0.75,6.0,,0.75,0.3736123365688882,0.33552703891881613,0.2833263033983141,0.08027379419735353,0.07891743761285651,0.07226788718429868,0.04069760354940218,0.08232282775522543,0.0937832302482684,5,5,convex mixture of greedy local and planned usefulness-order speakers,247,,,False
planned_usefulness_mixture,1.5,0.75,1.0,,0.5,0.3732999035399932,0.3372672084133035,0.2877282829694009,0.08278756482051963,0.07896092840106671,0.06450474020500335,0.012206374242665116,0.11211459014843932,0.0691932562239056,5,5,convex mixture of greedy local and planned usefulness-order speakers,678,,,False
planned_usefulness_mixture,1.0,0.75,2.0,,0.5,0.3732655751679757,0.3372040391094631,0.2878425348540088,0.08285332487118127,0.07897562707310621,0.06385722649841326,0.010567603648006142,0.1146730811280362,0.06633099471919743,5,5,convex mixture of greedy local and planned usefulness-order speakers,228,,,False
planned_usefulness_mixture,1.0,0.75,1.5,,0.25,0.37326701580142874,0.33710731961807827,0.2877714691090704,0.08281241843319267,0.07898536620814964,0.06384329817680469,0.010652621207669827,0.11449913191890213,0.0663781414038421,5,5,convex mixture of greedy local and planned usefulness-order speakers,221,,,False
planned_usefulness_mixture,1.0,0.75,3.0,,0.5,0.3734173382272586,0.3370699237102032,0.2880337230877514,0.08296342563579144,0.07934001134105764,0.0694364437725362,0.02852525282132905,0.10876697117667411,0.07101710731960545,5,5,convex mixture of greedy local and planned usefulness-order speakers,234,,,False
planned_usefulness_mixture,1.5,0.75,2.0,,0.75,0.3733899085104291,0.3373019435131591,0.2877966421395727,0.08282690722681325,0.07936232294351446,0.06708083073278283,0.020332031295707716,0.11204495833627337,0.0688655025663674,5,5,convex mixture of greedy local and planned usefulness-order speakers,691,,,False
planned_usefulness_mixture,1.0,0.75,2.0,,0.75,0.37334445393850435,0.33733252122664215,0.2878475491736038,0.08285621156525025,0.07942461904762448,0.0639668690836412,0.010424248781368476,0.11635161949648518,0.06512473897306995,5,5,convex mixture of greedy local and planned usefulness-order speakers,229,,,False
planned_usefulness_mixture,1.5,0.75,0.5,,0.5,0.3733636472750518,0.33735045305870576,0.2876920823213599,0.08276673423040012,0.07943839382706963,0.06425329754722657,0.010654137146431729,0.11519594040667579,0.06690981508857219,5,5,convex mixture of greedy local and planned usefulness-order speakers,672,,,False
planned_usefulness_mixture,2.0,1.5,1.0,,0.5,0.37363876874538166,0.2972319670158521,0.2868317892190944,0.082272475306627,0.07951633115164078,0.0676933015503396,0.11121333787622134,0.021830801101924417,0.07003576567287303,5,5,convex mixture of greedy local and planned usefulness-order speakers,1272,,,False
planned_usefulness_mixture,2.0,0.75,1.5,,0.75,0.37343443178089447,0.33741051420298257,0.28775936974833255,0.08280545487795757,0.07955644865465386,0.06706352861951094,0.019468836548313273,0.11207656644488474,0.06964518286533478,5,5,convex mixture of greedy local and planned usefulness-order speakers,1147,,,False
planned_usefulness_mixture,1.0,0.75,4.0,,0.75,0.3735753566878535,0.3365234533563069,0.28771917720560847,0.08278232493187233,0.07955956031167491,0.07294638622317483,0.04069760354940218,0.09886398270174347,0.07927757241837881,5,5,convex mixture of greedy local and planned usefulness-order speakers,241,,,False
planned_usefulness_mixture,1.0,1.5,8.0,,0.25,0.37365938512029123,0.29694523522052474,0.28759548204901,0.08271116129500242,0.07957930583891203,0.06845607783433631,0.11224716854829393,0.026195114534724076,0.06692595041999089,5,5,convex mixture of greedy local and planned usefulness-order speakers,383,,,False
planned_usefulness_mixture,1.5,0.75,1.5,,0.5,0.37348046001546564,0.3372051660268572,0.2877469862810543,0.08279832811382924,0.07959716464435523,0.06948247438533156,0.027884182246925588,0.10906893712624224,0.07149430378282685,5,5,convex mixture of greedy local and planned usefulness-order speakers,684,,,False
planned_usefulness_mixture,1.5,0.75,1.5,,0.75,0.37338902357777454,0.33738410587088824,0.2878156779222293,0.08283786445783242,0.07963536804839412,0.06413650650062551,0.010462618305739343,0.11655872581421813,0.06538817538191909,5,5,convex mixture of greedy local and planned usefulness-order speakers,685,,,False
planned_usefulness_mixture,1.0,0.75,1.0,,0.25,0.37340288447750836,0.3371462252805981,0.2877500174421788,0.08280007253797421,0.07969732599150801,0.06492616359901894,0.013528914742674737,0.1160219584300005,0.0652276176243816,5,5,convex mixture of greedy local and planned usefulness-order speakers,215,,,False
planned_usefulness_mixture,4.0,0.75,2.0,,1.0,0.37343082479699385,0.3374618551225033,0.2877935620982799,0.08282513438521648,0.07990404991040366,0.06407651166886917,0.010280893914730766,0.11803015786493429,0.06391848322694249,5,5,convex mixture of greedy local and planned usefulness-order speakers,2078,,,False
planned_usefulness_mixture,2.0,0.75,2.0,,1.0,0.37343082479699385,0.3374618551225034,0.2877935620982802,0.08282513438521667,0.07990404991040367,0.06407651166886918,0.010280893914730745,0.11803015786493429,0.06391848322694252,5,5,convex mixture of greedy local and planned usefulness-order speakers,1154,,,False
planned_usefulness_order,1.5,0.75,2.0,,,0.37343082479699385,0.3374618551225034,0.28779356209828233,0.0828251343852179,0.07990404991040367,0.06407651166886918,0.010280893914730773,0.11803015786493429,0.06391848322694249,4,4,planned stop speaker with order prior moderated by referential usefulness,687,,,False
planned_usefulness_signed_order,1.5,0.75,,2.0,,0.37343082479699385,0.3374618551225034,0.28779356209828233,0.0828251343852179,0.07990404991040367,0.06407651166886918,0.010280893914730773,0.11803015786493429,0.06391848322694249,4,4,planned stop speaker whose usefulness adjustment can reward colour-initial order,721,,,False
planned_usefulness_mixture,1.5,0.75,2.0,,1.0,0.37343082479699385,0.3374618551225034,0.28779356209828233,0.0828251343852179,0.07990404991040367,0.06407651166886918,0.010280893914730773,0.11803015786493429,0.06391848322694249,5,5,convex mixture of greedy local and planned usefulness-order speakers,692,,,False
planned_usefulness_order,1.0,0.75,2.0,,,0.3734308247969938,0.3374618551225033,0.2877935620982802,0.08282513438521667,0.07990404991040369,0.06407651166886923,0.010280893914730782,0.11803015786493432,0.06391848322694255,4,4,planned stop speaker with order prior moderated by referential usefulness,225,,,False
planned_usefulness_signed_order,1.0,0.75,,2.0,,0.3734308247969938,0.3374618551225033,0.2877935620982802,0.08282513438521667,0.07990404991040369,0.06407651166886923,0.010280893914730782,0.11803015786493432,0.06391848322694255,4,4,planned stop speaker whose usefulness adjustment can reward colour-initial order,259,,,False
planned_usefulness_mixture,1.0,0.75,2.0,,1.0,0.3734308247969938,0.3374618551225033,0.2877935620982802,0.08282513438521667,0.07990404991040369,0.06407651166886923,0.010280893914730782,0.11803015786493432,0.06391848322694255,5,5,convex mixture of greedy local and planned usefulness-order speakers,230,,,False
planned_usefulness_order,3.0,0.75,2.0,,,0.37343082479699385,0.3374618551225033,0.2877935620982802,0.08282513438521667,0.0799040499104037,0.06407651166886921,0.010280893914730747,0.11803015786493434,0.06391848322694255,4,4,planned stop speaker with order prior moderated by referential usefulness,1611,,,False
planned_usefulness_signed_order,3.0,0.75,,2.0,,0.37343082479699385,0.3374618551225033,0.2877935620982802,0.08282513438521667,0.0799040499104037,0.06407651166886921,0.010280893914730747,0.11803015786493434,0.06391848322694255,4,4,planned stop speaker whose usefulness adjustment can reward colour-initial order,1645,,,False
planned_usefulness_mixture,3.0,0.75,2.0,,1.0,0.37343082479699385,0.3374618551225033,0.2877935620982802,0.08282513438521667,0.0799040499104037,0.06407651166886921,0.010280893914730747,0.11803015786493434,0.06391848322694255,5,5,convex mixture of greedy local and planned usefulness-order speakers,1616,,,False
